;0;1;2;3
0;-1.0;0.0;-0.0;2.0
1;-1.0;0.0;0.2;1.8
2;-1.0;0.0;0.4;1.6
3;-1.0;0.0;0.6;1.4
4;-1.0;0.0;0.8;1.2
5;-1.0;0.0;1.0;1.0
6;-1.0;0.0;1.2;0.8
7;-1.0;0.0;1.4;0.6
8;-1.0;0.0;1.6;0.4
9;-1.0;0.0;1.8;0.2
10;-1.0;0.0;2.0;0.0
11;-1.0;0.2;-0.2;2.0
12;-1.0;0.2;0.0;1.8
13;-1.0;0.2;0.2;1.6
14;-1.0;0.2;0.4;1.4
15;-1.0;0.2;0.6;1.2
16;-1.0;0.2;0.8;1.0
17;-1.0;0.2;1.0;0.8
18;-1.0;0.2;1.2;0.6
19;-1.0;0.2;1.4;0.4
20;-1.0;0.2;1.6;0.2
21;-1.0;0.2;1.8;0.0
22;-1.0;0.2;2.0;-0.2
23;-1.0;0.4;-0.4;2.0
24;-1.0;0.4;-0.2;1.8
25;-1.0;0.4;0.0;1.6
26;-1.0;0.4;0.2;1.4
27;-1.0;0.4;0.4;1.2
28;-1.0;0.4;0.6;1.0
29;-1.0;0.4;0.8;0.8
30;-1.0;0.4;1.0;0.6
31;-1.0;0.4;1.2;0.4
32;-1.0;0.4;1.4;0.2
33;-1.0;0.4;1.6;0.0
34;-1.0;0.4;1.8;-0.2
35;-1.0;0.4;2.0;-0.4
36;-1.0;0.6000000000000001;-0.6;2.0
37;-1.0;0.6000000000000001;-0.4;1.8
38;-1.0;0.6000000000000001;-0.2;1.6
39;-1.0;0.6000000000000001;0.0;1.4
40;-1.0;0.6000000000000001;0.2;1.2
41;-1.0;0.6000000000000001;0.4;1.0
42;-1.0;0.6000000000000001;0.6;0.8
43;-1.0;0.6000000000000001;0.8;0.6
44;-1.0;0.6000000000000001;1.0;0.4
45;-1.0;0.6000000000000001;1.2;0.2
46;-1.0;0.6000000000000001;1.4;0.0
47;-1.0;0.6000000000000001;1.6;-0.2
48;-1.0;0.6000000000000001;1.8;-0.4
49;-1.0;0.6000000000000001;2.0;-0.6
50;-1.0;0.8;-0.8;2.0
51;-1.0;0.8;-0.6;1.8
52;-1.0;0.8;-0.4;1.6
53;-1.0;0.8;-0.2;1.4
54;-1.0;0.8;0.0;1.2
55;-1.0;0.8;0.2;1.0
56;-1.0;0.8;0.4;0.8
57;-1.0;0.8;0.6;0.6
58;-1.0;0.8;0.8;0.4
59;-1.0;0.8;1.0;0.2
60;-1.0;0.8;1.2;0.0
61;-1.0;0.8;1.4;-0.2
62;-1.0;0.8;1.6;-0.4
63;-1.0;0.8;1.8;-0.6
64;-1.0;0.8;2.0;-0.8
65;-1.0;1.0;-1.0;2.0
66;-1.0;1.0;-0.8;1.8
67;-1.0;1.0;-0.6;1.6
68;-1.0;1.0;-0.4;1.4
69;-1.0;1.0;-0.2;1.2
70;-1.0;1.0;0.0;1.0
71;-1.0;1.0;0.2;0.8
72;-1.0;1.0;0.4;0.6
73;-1.0;1.0;0.6;0.4
74;-1.0;1.0;0.8;0.2
75;-1.0;1.0;1.0;0.0
76;-1.0;1.0;1.2;-0.2
77;-1.0;1.0;1.4;-0.4
78;-1.0;1.0;1.6;-0.6
79;-1.0;1.0;1.8;-0.8
80;-1.0;1.0;2.0;-1.0
81;-1.0;1.2000000000000002;-1.0;1.8
82;-1.0;1.2000000000000002;-0.8;1.6
83;-1.0;1.2000000000000002;-0.6;1.4
84;-1.0;1.2000000000000002;-0.4;1.2
85;-1.0;1.2000000000000002;-0.2;1.0
86;-1.0;1.2000000000000002;0.0;0.8
87;-1.0;1.2000000000000002;0.2;0.6
88;-1.0;1.2000000000000002;0.4;0.4
89;-1.0;1.2000000000000002;0.6;0.2
90;-1.0;1.2000000000000002;0.8;-0.0
91;-1.0;1.2000000000000002;1.0;-0.2
92;-1.0;1.2000000000000002;1.2;-0.4
93;-1.0;1.2000000000000002;1.4;-0.6
94;-1.0;1.2000000000000002;1.6;-0.8
95;-1.0;1.2000000000000002;1.8;-1.0
96;-1.0;1.4000000000000001;-1.0;1.6
97;-1.0;1.4000000000000001;-0.8;1.4
98;-1.0;1.4000000000000001;-0.6;1.2
99;-1.0;1.4000000000000001;-0.4;1.0
100;-1.0;1.4000000000000001;-0.2;0.8
101;-1.0;1.4000000000000001;0.0;0.6
102;-1.0;1.4000000000000001;0.2;0.4
103;-1.0;1.4000000000000001;0.4;0.2
104;-1.0;1.4000000000000001;0.6;-0.0
105;-1.0;1.4000000000000001;0.8;-0.2
106;-1.0;1.4000000000000001;1.0;-0.4
107;-1.0;1.4000000000000001;1.2;-0.6
108;-1.0;1.4000000000000001;1.4;-0.8
109;-1.0;1.4000000000000001;1.6;-1.0
110;-1.0;1.6;-1.0;1.4
111;-1.0;1.6;-0.8;1.2
112;-1.0;1.6;-0.6;1.0
113;-1.0;1.6;-0.4;0.8
114;-1.0;1.6;-0.2;0.6
115;-1.0;1.6;0.0;0.4
116;-1.0;1.6;0.2;0.2
117;-1.0;1.6;0.4;-0.0
118;-1.0;1.6;0.6;-0.2
119;-1.0;1.6;0.8;-0.4
120;-1.0;1.6;1.0;-0.6
121;-1.0;1.6;1.2;-0.8
122;-1.0;1.6;1.4;-1.0
123;-1.0;1.8;-1.0;1.2
124;-1.0;1.8;-0.8;1.0
125;-1.0;1.8;-0.6;0.8
126;-1.0;1.8;-0.4;0.6
127;-1.0;1.8;-0.2;0.4
128;-1.0;1.8;0.0;0.2
129;-1.0;1.8;0.2;-0.0
130;-1.0;1.8;0.4;-0.2
131;-1.0;1.8;0.6;-0.4
132;-1.0;1.8;0.8;-0.6
133;-1.0;1.8;1.0;-0.8
134;-1.0;1.8;1.2;-1.0
135;-1.0;2.0;0.0;0.0
136;-0.8;-0.19999999999999996;-0.0;2.0
137;-0.8;-0.19999999999999996;0.2;1.8
138;-0.8;-0.19999999999999996;0.4;1.6
139;-0.8;-0.19999999999999996;0.6;1.4
140;-0.8;-0.19999999999999996;0.8;1.2
141;-0.8;-0.19999999999999996;1.0;1.0
142;-0.8;-0.19999999999999996;1.2;0.8
143;-0.8;-0.19999999999999996;1.4;0.6
144;-0.8;-0.19999999999999996;1.6;0.4
145;-0.8;-0.19999999999999996;1.8;0.2
146;-0.8;-0.19999999999999996;2.0;0.0
147;-0.8;5.551115123125783e-17;-0.2;2.0
148;-0.8;5.551115123125783e-17;0.0;1.8
149;-0.8;5.551115123125783e-17;0.2;1.6
150;-0.8;5.551115123125783e-17;0.4;1.4
151;-0.8;5.551115123125783e-17;0.6;1.2
