;0;1;2
0;-2.0;-0.0;3.0
1;-2.0;0.1;2.9
2;-2.0;0.2;2.8
3;-2.0;0.3;2.7
4;-2.0;0.4;2.6
5;-2.0;0.5;2.5
6;-2.0;0.6;2.4
7;-2.0;0.7;2.3
8;-2.0;0.8;2.2
9;-2.0;0.9;2.1
10;-2.0;1.0;2.0
11;-2.0;1.1;1.9
12;-2.0;1.2;1.8
13;-2.0;1.3;1.7
14;-2.0;1.4;1.6
15;-2.0;1.5;1.5
16;-2.0;1.6;1.4
17;-2.0;1.7;1.3
18;-2.0;1.8;1.2
19;-2.0;1.9;1.1
20;-2.0;2.0;1.0
21;-2.0;2.1;0.9
22;-2.0;2.2;0.8
23;-2.0;2.3;0.7
24;-2.0;2.4;0.6
25;-2.0;2.5;0.5
26;-2.0;2.6;0.4
27;-2.0;2.7;0.3
28;-2.0;2.8;0.2
29;-2.0;2.9;0.1
30;-2.0;3.0;0.0
31;-1.9;-0.1;3.0
32;-1.9;-0.0;2.9
33;-1.9;0.1;2.8
34;-1.9;0.2;2.7
35;-1.9;0.3;2.6
36;-1.9;0.4;2.5
37;-1.9;0.5;2.4
38;-1.9;0.6;2.3
39;-1.9;0.7;2.2
40;-1.9;0.8;2.1
41;-1.9;0.9;2.0
42;-1.9;1.0;1.9
43;-1.9;1.1;1.8
44;-1.9;1.2;1.7
45;-1.9;1.3;1.6
46;-1.9;1.4;1.5
47;-1.9;1.5;1.4
48;-1.9;1.6;1.3
49;-1.9;1.7;1.2
50;-1.9;1.8;1.1
51;-1.9;1.9;1.0
52;-1.9;2.0;0.9
53;-1.9;2.1;0.8
54;-1.9;2.2;0.7
55;-1.9;2.3;0.6
56;-1.9;2.4;0.5
57;-1.9;2.5;0.4
58;-1.9;2.6;0.3
59;-1.9;2.7;0.2
60;-1.9;2.8;0.1
61;-1.9;2.9;0.0
62;-1.9;3.0;-0.1
63;-1.8;-0.2;3.0
64;-1.8;-0.1;2.9
65;-1.8;0.0;2.8
66;-1.8;0.1;2.7
67;-1.8;0.2;2.6
68;-1.8;0.3;2.5
69;-1.8;0.4;2.4
70;-1.8;0.5;2.3
71;-1.8;0.6;2.2
72;-1.8;0.7;2.1
73;-1.8;0.8;2.0
74;-1.8;0.9;1.9
75;-1.8;1.0;1.8
76;-1.8;1.1;1.7
77;-1.8;1.2;1.6
78;-1.8;1.3;1.5
79;-1.8;1.4;1.4
80;-1.8;1.5;1.3
81;-1.8;1.6;1.2
82;-1.8;1.7;1.1
83;-1.8;1.8;1.0
84;-1.8;1.9;0.9
85;-1.8;2.0;0.8
86;-1.8;2.1;0.7
87;-1.8;2.2;0.6
88;-1.8;2.3;0.5
89;-1.8;2.4;0.4
90;-1.8;2.5;0.3
91;-1.8;2.6;0.2
92;-1.8;2.7;0.1
93;-1.8;2.8;0.0
94;-1.8;2.9;-0.1
95;-1.8;3.0;-0.2
96;-1.7;-0.3;3.0
97;-1.7;-0.2;2.9
98;-1.7;-0.1;2.8
99;-1.7;0.0;2.7
100;-1.7;0.1;2.6
101;-1.7;0.2;2.5
102;-1.7;0.3;2.4
103;-1.7;0.4;2.3
104;-1.7;0.5;2.2
105;-1.7;0.6;2.1
106;-1.7;0.7;2.0
107;-1.7;0.8;1.9
108;-1.7;0.9;1.8
109;-1.7;1.0;1.7
110;-1.7;1.1;1.6
111;-1.7;1.2;1.5
112;-1.7;1.3;1.4
113;-1.7;1.4;1.3
114;-1.7;1.5;1.2
115;-1.7;1.6;1.1
116;-1.7;1.7;1.0
117;-1.7;1.8;0.9
