;0;1;2
0;-1.0;-0.0;2.0
1;-1.0;0.01;1.99
2;-1.0;0.02;1.98
3;-1.0;0.03;1.97
4;-1.0;0.04;1.96
5;-1.0;0.05;1.95
6;-1.0;0.06;1.94
7;-1.0;0.07;1.93
8;-1.0;0.08;1.92
9;-1.0;0.09;1.91
10;-1.0;0.1;1.9
11;-1.0;0.11;1.89
12;-1.0;0.12;1.88
13;-1.0;0.13;1.87
14;-1.0;0.14;1.86
15;-1.0;0.15;1.85
16;-1.0;0.16;1.84
17;-1.0;0.17;1.83
18;-1.0;0.18;1.82
19;-1.0;0.19;1.81
20;-1.0;0.2;1.8
21;-1.0;0.21;1.79
22;-1.0;0.22;1.78
23;-1.0;0.23;1.77
24;-1.0;0.24;1.76
25;-1.0;0.25;1.75
26;-1.0;0.26;1.74
27;-1.0;0.27;1.73
28;-1.0;0.28;1.72
29;-1.0;0.29;1.71
30;-1.0;0.3;1.7
31;-1.0;0.31;1.69
32;-1.0;0.32;1.68
33;-1.0;0.33;1.67
34;-1.0;0.34;1.66
35;-1.0;0.35;1.65
36;-1.0;0.36;1.64
37;-1.0;0.37;1.63
38;-1.0;0.38;1.62
39;-1.0;0.39;1.61
40;-1.0;0.4;1.6
41;-1.0;0.41;1.59
42;-1.0;0.42;1.58
43;-1.0;0.43;1.57
44;-1.0;0.44;1.56
45;-1.0;0.45;1.55
46;-1.0;0.46;1.54
47;-1.0;0.47;1.53
48;-1.0;0.48;1.52
49;-1.0;0.49;1.51
50;-1.0;0.5;1.5
51;-1.0;0.51;1.49
52;-1.0;0.52;1.48
53;-1.0;0.53;1.47
54;-1.0;0.54;1.46
55;-1.0;0.55;1.45
56;-1.0;0.56;1.44
57;-1.0;0.57;1.43
58;-1.0;0.58;1.42
59;-1.0;0.59;1.41
60;-1.0;0.6;1.4
61;-1.0;0.61;1.39
62;-1.0;0.62;1.38
63;-1.0;0.63;1.37
64;-1.0;0.64;1.36
65;-1.0;0.65;1.35
66;-1.0;0.66;1.34
67;-1.0;0.67;1.33
68;-1.0;0.68;1.32
69;-1.0;0.69;1.31
70;-1.0;0.7;1.3
71;-1.0;0.71;1.29
72;-1.0;0.72;1.28
73;-1.0;0.73;1.27
74;-1.0;0.74;1.26
75;-1.0;0.75;1.25
76;-1.0;0.76;1.24
77;-1.0;0.77;1.23
78;-1.0;0.78;1.22
79;-1.0;0.79;1.21
80;-1.0;0.8;1.2
81;-1.0;0.81;1.19
82;-1.0;0.82;1.18
83;-1.0;0.83;1.17
84;-1.0;0.84;1.16
85;-1.0;0.85;1.15
86;-1.0;0.86;1.14
87;-1.0;0.87;1.13
88;-1.0;0.88;1.12
89;-1.0;0.89;1.11
90;-1.0;0.9;1.1
91;-1.0;0.91;1.09
92;-1.0;0.92;1.08
93;-1.0;0.93;1.07
94;-1.0;0.94;1.06
95;-1.0;0.95;1.05
96;-1.0;0.96;1.04
97;-1.0;0.97;1.03
98;-1.0;0.98;1.02
99;-1.0;0.99;1.01
100;-1.0;1.0;1.0
101;-1.0;1.01;0.99
102;-1.0;1.02;0.98
103;-1.0;1.03;0.97
104;-1.0;1.04;0.96
105;-1.0;1.05;0.95
106;-1.0;1.06;0.94
107;-1.0;1.07;0.93
108;-1.0;1.08;0.92
109;-1.0;1.09;0.91
110;-1.0;1.1;0.9
111;-1.0;1.11;0.89
112;-1.0;1.12;0.88
113;-1.0;1.13;0.87
114;-1.0;1.14;0.86
115;-1.0;1.15;0.85
116;-1.0;1.16;0.84
117;-1.0;1.17;0.83
118;-1.0;1.18;0.82
119;-1.0;1.19;0.81
120;-1.0;1.2;0.8
121;-1.0;1.21;0.79
122;-1.0;1.22;0.78
123;-1.0;1.23;0.77
124;-1.0;1.24;0.76
125;-1.0;1.25;0.75
126;-1.0;1.26;0.74
127;-1.0;1.27;0.73
128;-1.0;1.28;0.72
129;-1.0;1.29;0.71
130;-1.0;1.3;0.7
131;-1.0;1.31;0.69
132;-1.0;1.32;0.68
133;-1.0;1.33;0.67
134;-1.0;1.34;0.66
135;-1.0;1.35;0.65
136;-1.0;1.36;0.64
137;-1.0;1.37;0.63
138;-1.0;1.38;0.62
139;-1.0;1.39;0.61
140;-1.0;1.4;0.6
141;-1.0;1.41;0.59
142;-1.0;1.42;0.58
143;-1.0;1.43;0.57
144;-1.0;1.44;0.56
145;-1.0;1.45;0.55
146;-1.0;1.46;0.54
147;-1.0;1.47;0.53
148;-1.0;1.48;0.52
149;-1.0;1.49;0.51
150;-1.0;1.5;0.5
151;-1.0;1.51;0.49
152;-1.0;1.52;0.48
153;-1.0;1.53;0.47
154;-1.0;1.54;0.46
155;-1.0;1.55;0.45
156;-1.0;1.56;0.44
157;-1.0;1.57;0.43
158;-1.0;1.58;0.42
159;-1.0;1.59;0.41
160;-1.0;1.6;0.4
161;-1.0;1.61;0.39
162;-1.0;1.62;0.38
163;-1.0;1.63;0.37
164;-1.0;1.64;0.36
165;-1.0;1.65;0.35
166;-1.0;1.66;0.34
167;-1.0;1.67;0.33
168;-1.0;1.68;0.32
169;-1.0;1.69;0.31
170;-1.0;1.7;0.3
171;-1.0;1.71;0.29
172;-1.0;1.72;0.28
173;-1.0;1.73;0.27
174;-1.0;1.74;0.26
175;-1.0;1.75;0.25
176;-1.0;1.76;0.24
177;-1.0;1.77;0.23
178;-1.0;1.78;0.22
179;-1.0;1.79;0.21
180;-1.0;1.8;0.2
181;-1.0;1.81;0.19
182;-1.0;1.82;0.18
183;-1.0;1.83;0.17
184;-1.0;1.84;0.16
185;-1.0;1.85;0.15
186;-1.0;1.86;0.14
187;-1.0;1.87;0.13
188;-1.0;1.88;0.12
189;-1.0;1.89;0.11
190;-1.0;1.9;0.1
191;-1.0;1.91;0.09
192;-1.0;1.92;0.08
193;-1.0;1.93;0.07
194;-1.0;1.94;0.06
195;-1.0;1.95;0.05
196;-1.0;1.96;0.04
197;-1.0;1.97;0.03
198;-1.0;1.98;0.02
199;-1.0;1.99;0.01
200;-1.0;2.0;0.0
201;-0.99;-0.01;2.0
202;-0.99;-0.0;1.99
203;-0.99;0.01;1.98
204;-0.99;0.02;1.97
205;-0.99;0.03;1.96
206;-0.99;0.04;1.95
207;-0.99;0.05;1.94
208;-0.99;0.06;1.93
209;-0.99;0.07;1.92
210;-0.99;0.08;1.91
211;-0.99;0.09;1.9
212;-0.99;0.1;1.89
213;-0.99;0.11;1.88
214;-0.99;0.12;1.87
215;-0.99;0.13;1.86
216;-0.99;0.14;1.85
217;-0.99;0.15;1.84
218;-0.99;0.16;1.83
219;-0.99;0.17;1.82
220;-0.99;0.18;1.81
221;-0.99;0.19;1.8
222;-0.99;0.2;1.79
223;-0.99;0.21;1.78
224;-0.99;0.22;1.77
225;-0.99;0.23;1.76
226;-0.99;0.24;1.75
227;-0.99;0.25;1.74
228;-0.99;0.26;1.73
229;-0.99;0.27;1.72
230;-0.99;0.28;1.71
231;-0.99;0.29;1.7
232;-0.99;0.3;1.69
233;-0.99;0.31;1.68
234;-0.99;0.32;1.67
235;-0.99;0.33;1.66
236;-0.99;0.34;1.65
237;-0.99;0.35;1.64
238;-0.99;0.36;1.63
239;-0.99;0.37;1.62
240;-0.99;0.38;1.61
241;-0.99;0.39;1.6
242;-0.99;0.4;1.59
243;-0.99;0.41;1.58
244;-0.99;0.42;1.57
245;-0.99;0.43;1.56
246;-0.99;0.44;1.55
247;-0.99;0.45;1.54
248;-0.99;0.46;1.53
249;-0.99;0.47;1.52
250;-0.99;0.48;1.51
251;-0.99;0.49;1.5
252;-0.99;0.5;1.49
253;-0.99;0.51;1.48
254;-0.99;0.52;1.47
255;-0.99;0.53;1.46
256;-0.99;0.54;1.45
257;-0.99;0.55;1.44
258;-0.99;0.56;1.43
259;-0.99;0.57;1.42
260;-0.99;0.58;1.41
261;-0.99;0.59;1.4
262;-0.99;0.6;1.39
263;-0.99;0.61;1.38
264;-0.99;0.62;1.37
265;-0.99;0.63;1.36
266;-0.99;0.64;1.35
267;-0.99;0.65;1.34
268;-0.99;0.66;1.33
269;-0.99;0.67;1.32
270;-0.99;0.68;1.31
271;-0.99;0.69;1.3
272;-0.99;0.7;1.29
273;-0.99;0.71;1.28
274;-0.99;0.72;1.27
275;-0.99;0.73;1.26
276;-0.99;0.74;1.25
277;-0.99;0.75;1.24
278;-0.99;0.76;1.23
279;-0.99;0.77;1.22
280;-0.99;0.78;1.21
281;-0.99;0.79;1.2
282;-0.99;0.8;1.19
283;-0.99;0.81;1.18
284;-0.99;0.82;1.17
285;-0.99;0.83;1.16
286;-0.99;0.84;1.15
287;-0.99;0.85;1.14
288;-0.99;0.86;1.13
289;-0.99;0.87;1.12
290;-0.99;0.88;1.11
291;-0.99;0.89;1.1
292;-0.99;0.9;1.09
293;-0.99;0.91;1.08
294;-0.99;0.92;1.07
295;-0.99;0.93;1.06
296;-0.99;0.94;1.05
297;-0.99;0.95;1.04
298;-0.99;0.96;1.03
299;-0.99;0.97;1.02
300;-0.99;0.98;1.01
301;-0.99;0.99;1.0
302;-0.99;1.0;0.99
303;-0.99;1.01;0.98
304;-0.99;1.02;0.97
305;-0.99;1.03;0.96
306;-0.99;1.04;0.95
307;-0.99;1.05;0.94
308;-0.99;1.06;0.93
309;-0.99;1.07;0.92
310;-0.99;1.08;0.91
311;-0.99;1.09;0.9
312;-0.99;1.1;0.89
313;-0.99;1.11;0.88
314;-0.99;1.12;0.87
315;-0.99;1.13;0.86
