;0;1;2;3;4
0;-2.0;0.0;0.0;-0.0;3.0
1;-2.0;0.0;0.0;0.5;2.5
2;-2.0;0.0;0.0;1.0;2.0
3;-2.0;0.0;0.0;1.5;1.5
4;-2.0;0.0;0.0;2.0;1.0
5;-2.0;0.0;0.0;2.5;0.5
6;-2.0;0.0;0.0;3.0;0.0
7;-2.0;0.0;0.5;-0.5;3.0
8;-2.0;0.0;0.5;0.0;2.5
9;-2.0;0.0;0.5;0.5;2.0
10;-2.0;0.0;0.5;1.0;1.5
11;-2.0;0.0;0.5;1.5;1.0
12;-2.0;0.0;0.5;2.0;0.5
13;-2.0;0.0;0.5;2.5;0.0
14;-2.0;0.0;0.5;3.0;-0.5
15;-2.0;0.0;1.0;-1.0;3.0
16;-2.0;0.0;1.0;-0.5;2.5
17;-2.0;0.0;1.0;0.0;2.0
18;-2.0;0.0;1.0;0.5;1.5
19;-2.0;0.0;1.0;1.0;1.0
20;-2.0;0.0;1.0;1.5;0.5
21;-2.0;0.0;1.0;2.0;0.0
22;-2.0;0.0;1.0;2.5;-0.5
23;-2.0;0.0;1.0;3.0;-1.0
24;-2.0;0.0;1.5;-1.5;3.0
25;-2.0;0.0;1.5;-1.0;2.5
26;-2.0;0.0;1.5;-0.5;2.0
27;-2.0;0.0;1.5;0.0;1.5
28;-2.0;0.0;1.5;0.5;1.0
29;-2.0;0.0;1.5;1.0;0.5
30;-2.0;0.0;1.5;1.5;0.0
31;-2.0;0.0;1.5;2.0;-0.5
32;-2.0;0.0;1.5;2.5;-1.0
33;-2.0;0.0;1.5;3.0;-1.5
34;-2.0;0.0;2.0;-2.0;3.0
35;-2.0;0.0;2.0;-1.5;2.5
36;-2.0;0.0;2.0;-1.0;2.0
37;-2.0;0.0;2.0;-0.5;1.5
38;-2.0;0.0;2.0;0.0;1.0
39;-2.0;0.0;2.0;0.5;0.5
40;-2.0;0.0;2.0;1.0;0.0
41;-2.0;0.0;2.0;1.5;-0.5
42;-2.0;0.0;2.0;2.0;-1.0
43;-2.0;0.0;2.0;2.5;-1.5
44;-2.0;0.0;2.0;3.0;-2.0
45;-2.0;0.0;2.5;-2.0;2.5
46;-2.0;0.0;2.5;-1.5;2.0
47;-2.0;0.0;2.5;-1.0;1.5
48;-2.0;0.0;2.5;-0.5;1.0
49;-2.0;0.0;2.5;0.0;0.5
50;-2.0;0.0;2.5;0.5;0.0
51;-2.0;0.0;2.5;1.0;-0.5
52;-2.0;0.0;2.5;1.5;-1.0
53;-2.0;0.0;2.5;2.0;-1.5
54;-2.0;0.0;2.5;2.5;-2.0
55;-2.0;0.0;3.0;0.0;0.0
56;-2.0;0.5;-0.5;-0.0;3.0
57;-2.0;0.5;-0.5;0.5;2.5
58;-2.0;0.5;-0.5;1.0;2.0
59;-2.0;0.5;-0.5;1.5;1.5
60;-2.0;0.5;-0.5;2.0;1.0
61;-2.0;0.5;-0.5;2.5;0.5
62;-2.0;0.5;-0.5;3.0;0.0
63;-2.0;0.5;0.0;-0.5;3.0
64;-2.0;0.5;0.0;0.0;2.5
65;-2.0;0.5;0.0;0.5;2.0
66;-2.0;0.5;0.0;1.0;1.5
67;-2.0;0.5;0.0;1.5;1.0
68;-2.0;0.5;0.0;2.0;0.5
69;-2.0;0.5;0.0;2.5;0.0
70;-2.0;0.5;0.0;3.0;-0.5
71;-2.0;0.5;0.5;-1.0;3.0
72;-2.0;0.5;0.5;-0.5;2.5
73;-2.0;0.5;0.5;0.0;2.0
74;-2.0;0.5;0.5;0.5;1.5
75;-2.0;0.5;0.5;1.0;1.0
76;-2.0;0.5;0.5;1.5;0.5
77;-2.0;0.5;0.5;2.0;0.0
78;-2.0;0.5;0.5;2.5;-0.5
79;-2.0;0.5;0.5;3.0;-1.0
80;-2.0;0.5;1.0;-1.5;3.0
81;-2.0;0.5;1.0;-1.0;2.5
82;-2.0;0.5;1.0;-0.5;2.0
83;-2.0;0.5;1.0;0.0;1.5
84;-2.0;0.5;1.0;0.5;1.0
85;-2.0;0.5;1.0;1.0;0.5
86;-2.0;0.5;1.0;1.5;0.0
87;-2.0;0.5;1.0;2.0;-0.5
88;-2.0;0.5;1.0;2.5;-1.0
89;-2.0;0.5;1.0;3.0;-1.5
90;-2.0;0.5;1.5;-2.0;3.0
91;-2.0;0.5;1.5;-1.5;2.5
92;-2.0;0.5;1.5;-1.0;2.0
93;-2.0;0.5;1.5;-0.5;1.5
94;-2.0;0.5;1.5;0.0;1.0
95;-2.0;0.5;1.5;0.5;0.5
96;-2.0;0.5;1.5;1.0;0.0
97;-2.0;0.5;1.5;1.5;-0.5
98;-2.0;0.5;1.5;2.0;-1.0
99;-2.0;0.5;1.5;2.5;-1.5
100;-2.0;0.5;1.5;3.0;-2.0
101;-2.0;0.5;2.0;-2.0;2.5
102;-2.0;0.5;2.0;-1.5;2.0
103;-2.0;0.5;2.0;-1.0;1.5
104;-2.0;0.5;2.0;-0.5;1.0
105;-2.0;0.5;2.0;0.0;0.5
106;-2.0;0.5;2.0;0.5;0.0
107;-2.0;0.5;2.0;1.0;-0.5
108;-2.0;0.5;2.0;1.5;-1.0
109;-2.0;0.5;2.0;2.0;-1.5
110;-2.0;0.5;2.0;2.5;-2.0
111;-2.0;0.5;2.5;0.0;0.0
112;-2.0;0.5;3.0;-2.0;1.5
113;-2.0;0.5;3.0;-1.5;1.0
114;-2.0;0.5;3.0;-1.0;0.5
115;-2.0;0.5;3.0;-0.5;0.0
116;-2.0;0.5;3.0;0.0;-0.5
117;-2.0;0.5;3.0;0.5;-1.0
118;-2.0;0.5;3.0;1.0;-1.5
119;-2.0;0.5;3.0;1.5;-2.0
120;-2.0;1.0;-1.0;-0.0;3.0
121;-2.0;1.0;-1.0;0.5;2.5
122;-2.0;1.0;-1.0;1.0;2.0
123;-2.0;1.0;-1.0;1.5;1.5
124;-2.0;1.0;-1.0;2.0;1.0
125;-2.0;1.0;-1.0;2.5;0.5
126;-2.0;1.0;-1.0;3.0;0.0
127;-2.0;1.0;-0.5;-0.5;3.0
128;-2.0;1.0;-0.5;0.0;2.5
129;-2.0;1.0;-0.5;0.5;2.0
130;-2.0;1.0;-0.5;1.0;1.5
131;-2.0;1.0;-0.5;1.5;1.0
132;-2.0;1.0;-0.5;2.0;0.5
133;-2.0;1.0;-0.5;2.5;0.0
134;-2.0;1.0;-0.5;3.0;-0.5
135;-2.0;1.0;0.0;-1.0;3.0
136;-2.0;1.0;0.0;-0.5;2.5
