;0;1;2
0;-1.0;-0.0;2.0
1;-1.0;0.02;1.98
2;-1.0;0.04;1.96
3;-1.0;0.06;1.94
4;-1.0;0.08;1.92
5;-1.0;0.1;1.9
6;-1.0;0.12;1.88
7;-1.0;0.14;1.86
8;-1.0;0.16;1.84
9;-1.0;0.18;1.82
10;-1.0;0.2;1.8
11;-1.0;0.22;1.78
12;-1.0;0.24;1.76
13;-1.0;0.26;1.74
14;-1.0;0.28;1.72
15;-1.0;0.3;1.7
16;-1.0;0.32;1.68
17;-1.0;0.34;1.66
18;-1.0;0.36;1.64
19;-1.0;0.38;1.62
20;-1.0;0.4;1.6
21;-1.0;0.42;1.58
22;-1.0;0.44;1.56
23;-1.0;0.46;1.54
24;-1.0;0.48;1.52
25;-1.0;0.5;1.5
26;-1.0;0.52;1.48
27;-1.0;0.54;1.46
28;-1.0;0.56;1.44
29;-1.0;0.58;1.42
30;-1.0;0.6;1.4
31;-1.0;0.62;1.38
32;-1.0;0.64;1.36
33;-1.0;0.66;1.34
34;-1.0;0.68;1.32
35;-1.0;0.7;1.3
36;-1.0;0.72;1.28
37;-1.0;0.74;1.26
38;-1.0;0.76;1.24
39;-1.0;0.78;1.22
40;-1.0;0.8;1.2
41;-1.0;0.82;1.18
42;-1.0;0.84;1.16
43;-1.0;0.86;1.14
44;-1.0;0.88;1.12
45;-1.0;0.9;1.1
46;-1.0;0.92;1.08
47;-1.0;0.94;1.06
48;-1.0;0.96;1.04
49;-1.0;0.98;1.02
50;-1.0;1.0;1.0
51;-1.0;1.02;0.98
52;-1.0;1.04;0.96
53;-1.0;1.06;0.94
54;-1.0;1.08;0.92
55;-1.0;1.1;0.9
56;-1.0;1.12;0.88
57;-1.0;1.14;0.86
58;-1.0;1.16;0.84
59;-1.0;1.18;0.82
60;-1.0;1.2;0.8
61;-1.0;1.22;0.78
62;-1.0;1.24;0.76
63;-1.0;1.26;0.74
64;-1.0;1.28;0.72
65;-1.0;1.3;0.7
66;-1.0;1.32;0.68
67;-1.0;1.34;0.66
68;-1.0;1.36;0.64
69;-1.0;1.38;0.62
70;-1.0;1.4;0.6
71;-1.0;1.42;0.58
72;-1.0;1.44;0.56
73;-1.0;1.46;0.54
74;-1.0;1.48;0.52
75;-1.0;1.5;0.5
76;-1.0;1.52;0.48
77;-1.0;1.54;0.46
78;-1.0;1.56;0.44
79;-1.0;1.58;0.42
80;-1.0;1.6;0.4
81;-1.0;1.62;0.38
82;-1.0;1.64;0.36
83;-1.0;1.66;0.34
84;-1.0;1.68;0.32
85;-1.0;1.7;0.3
86;-1.0;1.72;0.28
87;-1.0;1.74;0.26
88;-1.0;1.76;0.24
89;-1.0;1.78;0.22
90;-1.0;1.8;0.2
91;-1.0;1.82;0.18
92;-1.0;1.84;0.16
93;-1.0;1.86;0.14
94;-1.0;1.88;0.12
95;-1.0;1.9;0.1
96;-1.0;1.92;0.08
97;-1.0;1.94;0.06
98;-1.0;1.96;0.04
99;-1.0;1.98;0.02
100;-1.0;2.0;0.0
101;-0.98;-0.02;2.0
102;-0.98;-0.0;1.98
103;-0.98;0.02;1.96
104;-0.98;0.04;1.94
105;-0.98;0.06;1.92
106;-0.98;0.08;1.9
107;-0.98;0.1;1.88
108;-0.98;0.12;1.86
109;-0.98;0.14;1.84
110;-0.98;0.16;1.82
111;-0.98;0.18;1.8
112;-0.98;0.2;1.78
113;-0.98;0.22;1.76
114;-0.98;0.24;1.74
115;-0.98;0.26;1.72
116;-0.98;0.28;1.7
117;-0.98;0.3;1.68
118;-0.98;0.32;1.66
119;-0.98;0.34;1.64
120;-0.98;0.36;1.62
121;-0.98;0.38;1.6
122;-0.98;0.4;1.58
123;-0.98;0.42;1.56
124;-0.98;0.44;1.54
125;-0.98;0.46;1.52
126;-0.98;0.48;1.5
127;-0.98;0.5;1.48
128;-0.98;0.52;1.46
129;-0.98;0.54;1.44
130;-0.98;0.56;1.42
131;-0.98;0.58;1.4
132;-0.98;0.6;1.38
133;-0.98;0.62;1.36
134;-0.98;0.64;1.34
135;-0.98;0.66;1.32
136;-0.98;0.68;1.3
137;-0.98;0.7;1.28
138;-0.98;0.72;1.26
139;-0.98;0.74;1.24
140;-0.98;0.76;1.22
141;-0.98;0.78;1.2
142;-0.98;0.8;1.18
143;-0.98;0.82;1.16
144;-0.98;0.84;1.14
145;-0.98;0.86;1.12
146;-0.98;0.88;1.1
147;-0.98;0.9;1.08
148;-0.98;0.92;1.06
149;-0.98;0.94;1.04
150;-0.98;0.96;1.02
