;0;1;2;3;4
0;-1.0;0.0;0.0;-0.0;2.0
1;-1.0;0.0;0.0;0.33;1.67
2;-1.0;0.0;0.0;0.66;1.34
3;-1.0;0.0;0.0;0.99;1.01
4;-1.0;0.0;0.0;1.32;0.68
5;-1.0;0.0;0.0;1.65;0.35
6;-1.0;0.0;0.0;1.98;0.02
7;-1.0;0.0;0.33;-0.33;2.0
8;-1.0;0.0;0.33;-0.0;1.67
9;-1.0;0.0;0.33;0.33;1.34
10;-1.0;0.0;0.33;0.66;1.01
11;-1.0;0.0;0.33;0.99;0.68
12;-1.0;0.0;0.33;1.32;0.35
13;-1.0;0.0;0.33;1.65;0.02
14;-1.0;0.0;0.33;1.98;-0.31
15;-1.0;0.0;0.66;-0.66;2.0
16;-1.0;0.0;0.66;-0.33;1.67
17;-1.0;0.0;0.66;0.0;1.34
18;-1.0;0.0;0.66;0.33;1.01
19;-1.0;0.0;0.66;0.66;0.68
20;-1.0;0.0;0.66;0.99;0.35
21;-1.0;0.0;0.66;1.32;0.02
22;-1.0;0.0;0.66;1.65;-0.31
23;-1.0;0.0;0.66;1.98;-0.64
24;-1.0;0.0;0.99;-0.99;2.0
25;-1.0;0.0;0.99;-0.66;1.67
26;-1.0;0.0;0.99;-0.33;1.34
27;-1.0;0.0;0.99;0.0;1.01
28;-1.0;0.0;0.99;0.33;0.68
29;-1.0;0.0;0.99;0.66;0.35
30;-1.0;0.0;0.99;0.99;0.02
31;-1.0;0.0;0.99;1.32;-0.31
32;-1.0;0.0;0.99;1.65;-0.64
33;-1.0;0.0;0.99;1.98;-0.97
34;-1.0;0.0;1.32;-1.0;1.68
35;-1.0;0.0;1.32;-0.67;1.35
36;-1.0;0.0;1.32;-0.34;1.02
37;-1.0;0.0;1.32;-0.01;0.69
38;-1.0;0.0;1.32;0.32;0.36
39;-1.0;0.0;1.32;0.65;0.03
40;-1.0;0.0;1.32;0.98;-0.3
41;-1.0;0.0;1.32;1.31;-0.63
42;-1.0;0.0;1.32;1.64;-0.96
43;-1.0;0.0;1.6500000000000001;-1.0;1.35
44;-1.0;0.0;1.6500000000000001;-0.67;1.02
45;-1.0;0.0;1.6500000000000001;-0.34;0.69
46;-1.0;0.0;1.6500000000000001;-0.01;0.36
47;-1.0;0.0;1.6500000000000001;0.32;0.03
48;-1.0;0.0;1.6500000000000001;0.65;-0.3
49;-1.0;0.0;1.6500000000000001;0.98;-0.63
50;-1.0;0.0;1.6500000000000001;1.31;-0.96
51;-1.0;0.0;1.98;-1.0;1.02
52;-1.0;0.0;1.98;-0.67;0.69
53;-1.0;0.0;1.98;-0.34;0.36
54;-1.0;0.0;1.98;-0.01;0.03
55;-1.0;0.0;1.98;0.32;-0.3
56;-1.0;0.0;1.98;0.65;-0.63
57;-1.0;0.0;1.98;0.98;-0.96
58;-1.0;0.33;-0.33000000000000007;-0.0;2.0
59;-1.0;0.33;-0.33000000000000007;0.33;1.67
60;-1.0;0.33;-0.33000000000000007;0.66;1.34
61;-1.0;0.33;-0.33000000000000007;0.99;1.01
62;-1.0;0.33;-0.33000000000000007;1.32;0.68
63;-1.0;0.33;-0.33000000000000007;1.65;0.35
64;-1.0;0.33;-0.33000000000000007;1.98;0.02
65;-1.0;0.33;-5.551115123125783e-17;-0.33;2.0
66;-1.0;0.33;-5.551115123125783e-17;-0.0;1.67
67;-1.0;0.33;-5.551115123125783e-17;0.33;1.34
68;-1.0;0.33;-5.551115123125783e-17;0.66;1.01
69;-1.0;0.33;-5.551115123125783e-17;0.99;0.68
70;-1.0;0.33;-5.551115123125783e-17;1.32;0.35
71;-1.0;0.33;-5.551115123125783e-17;1.65;0.02
72;-1.0;0.33;-5.551115123125783e-17;1.98;-0.31
73;-1.0;0.33;0.32999999999999996;-0.66;2.0
74;-1.0;0.33;0.32999999999999996;-0.33;1.67
75;-1.0;0.33;0.32999999999999996;0.0;1.34
76;-1.0;0.33;0.32999999999999996;0.33;1.01
77;-1.0;0.33;0.32999999999999996;0.66;0.68
78;-1.0;0.33;0.32999999999999996;0.99;0.35
79;-1.0;0.33;0.32999999999999996;1.32;0.02
80;-1.0;0.33;0.32999999999999996;1.65;-0.31
81;-1.0;0.33;0.32999999999999996;1.98;-0.64
82;-1.0;0.33;0.6599999999999999;-0.99;2.0
83;-1.0;0.33;0.6599999999999999;-0.66;1.67
84;-1.0;0.33;0.6599999999999999;-0.33;1.34
85;-1.0;0.33;0.6599999999999999;0.0;1.01
86;-1.0;0.33;0.6599999999999999;0.33;0.68
87;-1.0;0.33;0.6599999999999999;0.66;0.35
88;-1.0;0.33;0.6599999999999999;0.99;0.02
89;-1.0;0.33;0.6599999999999999;1.32;-0.31
90;-1.0;0.33;0.6599999999999999;1.65;-0.64
91;-1.0;0.33;0.6599999999999999;1.98;-0.97
92;-1.0;0.33;0.99;-1.0;1.68
93;-1.0;0.33;0.99;-0.67;1.35
94;-1.0;0.33;0.99;-0.34;1.02
95;-1.0;0.33;0.99;-0.01;0.69
96;-1.0;0.33;0.99;0.32;0.36
97;-1.0;0.33;0.99;0.65;0.03
98;-1.0;0.33;0.99;0.98;-0.3
99;-1.0;0.33;0.99;1.31;-0.63
100;-1.0;0.33;0.99;1.64;-0.96
101;-1.0;0.33;1.32;-1.0;1.35
102;-1.0;0.33;1.32;-0.67;1.02
103;-1.0;0.33;1.32;-0.34;0.69
104;-1.0;0.33;1.32;-0.01;0.36
105;-1.0;0.33;1.32;0.32;0.03
106;-1.0;0.33;1.32;0.65;-0.3
107;-1.0;0.33;1.32;0.98;-0.63
108;-1.0;0.33;1.32;1.31;-0.96
109;-1.0;0.33;1.65;-1.0;1.02
110;-1.0;0.33;1.65;-0.67;0.69
111;-1.0;0.33;1.65;-0.34;0.36
112;-1.0;0.33;1.65;-0.01;0.03
113;-1.0;0.33;1.65;0.32;-0.3
114;-1.0;0.33;1.65;0.65;-0.63
115;-1.0;0.33;1.65;0.98;-0.96
116;-1.0;0.33;1.98;-1.0;0.69
117;-1.0;0.33;1.98;-0.67;0.36
118;-1.0;0.33;1.98;-0.34;0.03
119;-1.0;0.33;1.98;-0.01;-0.3
120;-1.0;0.33;1.98;0.32;-0.63
121;-1.0;0.33;1.98;0.65;-0.96
122;-1.0;0.66;-0.66;-0.0;2.0
123;-1.0;0.66;-0.66;0.33;1.67
124;-1.0;0.66;-0.66;0.66;1.34
125;-1.0;0.66;-0.66;0.99;1.01
126;-1.0;0.66;-0.66;1.32;0.68
127;-1.0;0.66;-0.66;1.65;0.35
128;-1.0;0.66;-0.66;1.98;0.02
129;-1.0;0.66;-0.33;-0.33;2.0
130;-1.0;0.66;-0.33;-0.0;1.67
131;-1.0;0.66;-0.33;0.33;1.34
132;-1.0;0.66;-0.33;0.66;1.01
133;-1.0;0.66;-0.33;0.99;0.68
134;-1.0;0.66;-0.33;1.32;0.35
135;-1.0;0.66;-0.33;1.65;0.02
136;-1.0;0.66;-0.33;1.98;-0.31
137;-1.0;0.66;0.0;-0.66;2.0
138;-1.0;0.66;0.0;-0.33;1.67
139;-1.0;0.66;0.0;0.0;1.34
140;-1.0;0.66;0.0;0.33;1.01
141;-1.0;0.66;0.0;0.66;0.68
142;-1.0;0.66;0.0;0.99;0.35
143;-1.0;0.66;0.0;1.32;0.02
144;-1.0;0.66;0.0;1.65;-0.31
145;-1.0;0.66;0.0;1.98;-0.64
146;-1.0;0.66;0.32999999999999996;-0.99;2.0
147;-1.0;0.66;0.32999999999999996;-0.66;1.67
148;-1.0;0.66;0.32999999999999996;-0.33;1.34
149;-1.0;0.66;0.32999999999999996;0.0;1.01
150;-1.0;0.66;0.32999999999999996;0.33;0.68
151;-1.0;0.66;0.32999999999999996;0.66;0.35
152;-1.0;0.66;0.32999999999999996;0.99;0.02
153;-1.0;0.66;0.32999999999999996;1.32;-0.31
154;-1.0;0.66;0.32999999999999996;1.65;-0.64
155;-1.0;0.66;0.32999999999999996;1.98;-0.97
156;-1.0;0.66;0.66;-1.0;1.68
157;-1.0;0.66;0.66;-0.67;1.35
158;-1.0;0.66;0.66;-0.34;1.02
159;-1.0;0.66;0.66;-0.01;0.69
160;-1.0;0.66;0.66;0.32;0.36
161;-1.0;0.66;0.66;0.65;0.03
162;-1.0;0.66;0.66;0.98;-0.3
163;-1.0;0.66;0.66;1.31;-0.63
164;-1.0;0.66;0.66;1.64;-0.96
165;-1.0;0.66;0.9900000000000001;-1.0;1.35
166;-1.0;0.66;0.9900000000000001;-0.67;1.02
167;-1.0;0.66;0.9900000000000001;-0.34;0.69
168;-1.0;0.66;0.9900000000000001;-0.01;0.36
169;-1.0;0.66;0.9900000000000001;0.32;0.03
170;-1.0;0.66;0.9900000000000001;0.65;-0.3
171;-1.0;0.66;0.9900000000000001;0.98;-0.63
172;-1.0;0.66;0.9900000000000001;1.31;-0.96
173;-1.0;0.66;1.3199999999999998;-1.0;1.02
174;-1.0;0.66;1.3199999999999998;-0.67;0.69
175;-1.0;0.66;1.3199999999999998;-0.34;0.36
176;-1.0;0.66;1.3199999999999998;-0.01;0.03
177;-1.0;0.66;1.3199999999999998;0.32;-0.3
178;-1.0;0.66;1.3199999999999998;0.65;-0.63
179;-1.0;0.66;1.3199999999999998;0.98;-0.96
180;-1.0;0.66;1.65;-1.0;0.69
181;-1.0;0.66;1.65;-0.67;0.36
182;-1.0;0.66;1.65;-0.34;0.03
183;-1.0;0.66;1.65;-0.01;-0.3
184;-1.0;0.66;1.65;0.32;-0.63
185;-1.0;0.66;1.65;0.65;-0.96
186;-1.0;0.66;1.98;-1.0;0.36
187;-1.0;0.66;1.98;-0.67;0.03
188;-1.0;0.66;1.98;-0.34;-0.3
189;-1.0;0.66;1.98;-0.01;-0.63
190;-1.0;0.66;1.98;0.32;-0.96
191;-1.0;0.99;-0.99;-0.0;2.0
192;-1.0;0.99;-0.99;0.33;1.67
193;-1.0;0.99;-0.99;0.66;1.34
194;-1.0;0.99;-0.99;0.99;1.01
195;-1.0;0.99;-0.99;1.32;0.68
196;-1.0;0.99;-0.99;1.65;0.35
197;-1.0;0.99;-0.99;1.98;0.02
198;-1.0;0.99;-0.6599999999999999;-0.33;2.0
199;-1.0;0.99;-0.6599999999999999;-0.0;1.67
200;-1.0;0.99;-0.6599999999999999;0.33;1.34
201;-1.0;0.99;-0.6599999999999999;0.66;1.01
202;-1.0;0.99;-0.6599999999999999;0.99;0.68
203;-1.0;0.99;-0.6599999999999999;1.32;0.35
204;-1.0;0.99;-0.6599999999999999;1.65;0.02
205;-1.0;0.99;-0.6599999999999999;1.98;-0.31
206;-1.0;0.99;-0.32999999999999996;-0.66;2.0
207;-1.0;0.99;-0.32999999999999996;-0.33;1.67
208;-1.0;0.99;-0.32999999999999996;0.0;1.34
209;-1.0;0.99;-0.32999999999999996;0.33;1.01
210;-1.0;0.99;-0.32999999999999996;0.66;0.68
211;-1.0;0.99;-0.32999999999999996;0.99;0.35
212;-1.0;0.99;-0.32999999999999996;1.32;0.02
213;-1.0;0.99;-0.32999999999999996;1.65;-0.31
214;-1.0;0.99;-0.32999999999999996;1.98;-0.64
215;-1.0;0.99;0.0;-0.99;2.0
216;-1.0;0.99;0.0;-0.66;1.67
217;-1.0;0.99;0.0;-0.33;1.34
218;-1.0;0.99;0.0;0.0;1.01
219;-1.0;0.99;0.0;0.33;0.68
220;-1.0;0.99;0.0;0.66;0.35
221;-1.0;0.99;0.0;0.99;0.02
222;-1.0;0.99;0.0;1.32;-0.31
223;-1.0;0.99;0.0;1.65;-0.64
224;-1.0;0.99;0.0;1.98;-0.97
225;-1.0;0.99;0.33000000000000007;-1.0;1.68
226;-1.0;0.99;0.33000000000000007;-0.67;1.35
227;-1.0;0.99;0.33000000000000007;-0.34;1.02
228;-1.0;0.99;0.33000000000000007;-0.01;0.69
229;-1.0;0.99;0.33000000000000007;0.32;0.36
230;-1.0;0.99;0.33000000000000007;0.65;0.03
231;-1.0;0.99;0.33000000000000007;0.98;-0.3
232;-1.0;0.99;0.33000000000000007;1.31;-0.63
233;-1.0;0.99;0.33000000000000007;1.64;-0.96
234;-1.0;0.99;0.6600000000000001;-1.0;1.35
235;-1.0;0.99;0.6600000000000001;-0.67;1.02
236;-1.0;0.99;0.6600000000000001;-0.34;0.69
237;-1.0;0.99;0.6600000000000001;-0.01;0.36
238;-1.0;0.99;0.6600000000000001;0.32;0.03
239;-1.0;0.99;0.6600000000000001;0.65;-0.3
240;-1.0;0.99;0.6600000000000001;0.98;-0.63
241;-1.0;0.99;0.6600000000000001;1.31;-0.96
242;-1.0;0.99;0.99;-1.0;1.02
243;-1.0;0.99;0.99;-0.67;0.69
244;-1.0;0.99;0.99;-0.34;0.36
245;-1.0;0.99;0.99;-0.01;0.03
