;0;1;2
211;-0.8;1.85;-0.05
212;-0.8;1.9;-0.1
213;-0.8;1.95;-0.15
214;-0.8;2.0;-0.2
215;-0.75;-0.25;2.0
216;-0.75;-0.2;1.95
217;-0.75;-0.15;1.9
218;-0.75;-0.1;1.85
219;-0.75;-0.05;1.8
220;-0.75;0.0;1.75
221;-0.75;0.05;1.7
222;-0.75;0.1;1.65
223;-0.75;0.15;1.6
224;-0.75;0.2;1.55
225;-0.75;0.25;1.5
226;-0.75;0.3;1.45
227;-0.75;0.35;1.4
228;-0.75;0.4;1.35
229;-0.75;0.45;1.3
230;-0.75;0.5;1.25
231;-0.75;0.55;1.2
232;-0.75;0.6;1.15
233;-0.75;0.65;1.1
234;-0.75;0.7;1.05
235;-0.75;0.75;1.0
236;-0.75;0.8;0.95
237;-0.75;0.85;0.9
238;-0.75;0.9;0.85
239;-0.75;0.95;0.8
240;-0.75;1.0;0.75
241;-0.75;1.05;0.7
242;-0.75;1.1;0.65
243;-0.75;1.15;0.6
244;-0.75;1.2;0.55
245;-0.75;1.25;0.5
246;-0.75;1.3;0.45
247;-0.75;1.35;0.4
248;-0.75;1.4;0.35
249;-0.75;1.45;0.3
250;-0.75;1.5;0.25
251;-0.75;1.55;0.2
252;-0.75;1.6;0.15
253;-0.75;1.65;0.1
254;-0.75;1.7;0.05
255;-0.75;1.75;0.0
256;-0.75;1.8;-0.05
257;-0.75;1.85;-0.1
258;-0.75;1.9;-0.15
259;-0.75;1.95;-0.2
260;-0.75;2.0;-0.25
261;-0.7;-0.3;2.0
262;-0.7;-0.25;1.95
263;-0.7;-0.2;1.9
264;-0.7;-0.15;1.85
265;-0.7;-0.1;1.8
266;-0.7;-0.05;1.75
267;-0.7;0.0;1.7
268;-0.7;0.05;1.65
269;-0.7;0.1;1.6
270;-0.7;0.15;1.55
271;-0.7;0.2;1.5
272;-0.7;0.25;1.45
273;-0.7;0.3;1.4
274;-0.7;0.35;1.35
275;-0.7;0.4;1.3
276;-0.7;0.45;1.25
277;-0.7;0.5;1.2
278;-0.7;0.55;1.15
279;-0.7;0.6;1.1
280;-0.7;0.65;1.05
281;-0.7;0.7;1.0
282;-0.7;0.75;0.95
283;-0.7;0.8;0.9
284;-0.7;0.85;0.85
285;-0.7;0.9;0.8
286;-0.7;0.95;0.75
287;-0.7;1.0;0.7
288;-0.7;1.05;0.65
289;-0.7;1.1;0.6
290;-0.7;1.15;0.55
291;-0.7;1.2;0.5
292;-0.7;1.25;0.45
293;-0.7;1.3;0.4
294;-0.7;1.35;0.35
295;-0.7;1.4;0.3
296;-0.7;1.45;0.25
297;-0.7;1.5;0.2
298;-0.7;1.55;0.15
299;-0.7;1.6;0.1
300;-0.7;1.65;0.05
301;-0.7;1.7;0.0
302;-0.7;1.75;-0.05
303;-0.7;1.8;-0.1
304;-0.7;1.85;-0.15
305;-0.7;1.9;-0.2
306;-0.7;1.95;-0.25
307;-0.7;2.0;-0.3
308;-0.6499999999999999;-0.35;2.0
309;-0.6499999999999999;-0.3;1.95
310;-0.6499999999999999;-0.25;1.9
311;-0.6499999999999999;-0.2;1.85
312;-0.6499999999999999;-0.15;1.8
313;-0.6499999999999999;-0.1;1.75
314;-0.6499999999999999;-0.05;1.7
315;-0.6499999999999999;-0.0;1.65
316;-0.6499999999999999;0.05;1.6
317;-0.6499999999999999;0.1;1.55
318;-0.6499999999999999;0.15;1.5
319;-0.6499999999999999;0.2;1.45
320;-0.6499999999999999;0.25;1.4
321;-0.6499999999999999;0.3;1.35
322;-0.6499999999999999;0.35;1.3
323;-0.6499999999999999;0.4;1.25
324;-0.6499999999999999;0.45;1.2
325;-0.6499999999999999;0.5;1.15
326;-0.6499999999999999;0.55;1.1
327;-0.6499999999999999;0.6;1.05
328;-0.6499999999999999;0.65;1.0
329;-0.6499999999999999;0.7;0.95
330;-0.6499999999999999;0.75;0.9
331;-0.6499999999999999;0.8;0.85
332;-0.6499999999999999;0.85;0.8
333;-0.6499999999999999;0.9;0.75
334;-0.6499999999999999;0.95;0.7
335;-0.6499999999999999;1.0;0.65
336;-0.6499999999999999;1.05;0.6
337;-0.6499999999999999;1.1;0.55
338;-0.6499999999999999;1.15;0.5
339;-0.6499999999999999;1.2;0.45
340;-0.6499999999999999;1.25;0.4
341;-0.6499999999999999;1.3;0.35
342;-0.6499999999999999;1.35;0.3
343;-0.6499999999999999;1.4;0.25
344;-0.6499999999999999;1.45;0.2
345;-0.6499999999999999;1.5;0.15
346;-0.6499999999999999;1.55;0.1
347;-0.6499999999999999;1.6;0.05
348;-0.6499999999999999;1.65;0.0
349;-0.6499999999999999;1.7;-0.05
350;-0.6499999999999999;1.75;-0.1
351;-0.6499999999999999;1.8;-0.15
352;-0.6499999999999999;1.85;-0.2
353;-0.6499999999999999;1.9;-0.25
354;-0.6499999999999999;1.95;-0.3
