;0;1;2
0;-2.0;-0.0;3.0
1;-2.0;0.02;2.98
2;-2.0;0.04;2.96
3;-2.0;0.06;2.94
4;-2.0;0.08;2.92
5;-2.0;0.1;2.9
6;-2.0;0.12;2.88
7;-2.0;0.14;2.86
8;-2.0;0.16;2.84
9;-2.0;0.18;2.82
10;-2.0;0.2;2.8
11;-2.0;0.22;2.78
12;-2.0;0.24;2.76
13;-2.0;0.26;2.74
14;-2.0;0.28;2.72
15;-2.0;0.3;2.7
16;-2.0;0.32;2.68
17;-2.0;0.34;2.66
18;-2.0;0.36;2.64
19;-2.0;0.38;2.62
20;-2.0;0.4;2.6
21;-2.0;0.42;2.58
22;-2.0;0.44;2.56
23;-2.0;0.46;2.54
24;-2.0;0.48;2.52
25;-2.0;0.5;2.5
26;-2.0;0.52;2.48
27;-2.0;0.54;2.46
28;-2.0;0.56;2.44
29;-2.0;0.58;2.42
30;-2.0;0.6;2.4
31;-2.0;0.62;2.38
32;-2.0;0.64;2.36
33;-2.0;0.66;2.34
34;-2.0;0.68;2.32
35;-2.0;0.7;2.3
36;-2.0;0.72;2.28
37;-2.0;0.74;2.26
38;-2.0;0.76;2.24
39;-2.0;0.78;2.22
40;-2.0;0.8;2.2
41;-2.0;0.82;2.18
42;-2.0;0.84;2.16
43;-2.0;0.86;2.14
44;-2.0;0.88;2.12
45;-2.0;0.9;2.1
46;-2.0;0.92;2.08
47;-2.0;0.94;2.06
48;-2.0;0.96;2.04
49;-2.0;0.98;2.02
50;-2.0;1.0;2.0
51;-2.0;1.02;1.98
52;-2.0;1.04;1.96
53;-2.0;1.06;1.94
54;-2.0;1.08;1.92
55;-2.0;1.1;1.9
56;-2.0;1.12;1.88
57;-2.0;1.14;1.86
58;-2.0;1.16;1.84
59;-2.0;1.18;1.82
60;-2.0;1.2;1.8
61;-2.0;1.22;1.78
62;-2.0;1.24;1.76
63;-2.0;1.26;1.74
64;-2.0;1.28;1.72
65;-2.0;1.3;1.7
66;-2.0;1.32;1.68
67;-2.0;1.34;1.66
68;-2.0;1.36;1.64
69;-2.0;1.38;1.62
70;-2.0;1.4;1.6
71;-2.0;1.42;1.58
72;-2.0;1.44;1.56
73;-2.0;1.46;1.54
74;-2.0;1.48;1.52
75;-2.0;1.5;1.5
76;-2.0;1.52;1.48
77;-2.0;1.54;1.46
78;-2.0;1.56;1.44
79;-2.0;1.58;1.42
80;-2.0;1.6;1.4
81;-2.0;1.62;1.38
82;-2.0;1.64;1.36
83;-2.0;1.66;1.34
84;-2.0;1.68;1.32
85;-2.0;1.7;1.3
86;-2.0;1.72;1.28
87;-2.0;1.74;1.26
88;-2.0;1.76;1.24
89;-2.0;1.78;1.22
90;-2.0;1.8;1.2
91;-2.0;1.82;1.18
92;-2.0;1.84;1.16
93;-2.0;1.86;1.14
94;-2.0;1.88;1.12
95;-2.0;1.9;1.1
96;-2.0;1.92;1.08
97;-2.0;1.94;1.06
98;-2.0;1.96;1.04
99;-2.0;1.98;1.02
100;-2.0;2.0;1.0
101;-2.0;2.02;0.98
102;-2.0;2.04;0.96
103;-2.0;2.06;0.94
104;-2.0;2.08;0.92
105;-2.0;2.1;0.9
106;-2.0;2.12;0.88
107;-2.0;2.14;0.86
108;-2.0;2.16;0.84
109;-2.0;2.18;0.82
110;-2.0;2.2;0.8
111;-2.0;2.22;0.78
112;-2.0;2.24;0.76
113;-2.0;2.26;0.74
114;-2.0;2.28;0.72
115;-2.0;2.3;0.7
116;-2.0;2.32;0.68
117;-2.0;2.34;0.66
118;-2.0;2.36;0.64
119;-2.0;2.38;0.62
120;-2.0;2.4;0.6
121;-2.0;2.42;0.58
122;-2.0;2.44;0.56
123;-2.0;2.46;0.54
124;-2.0;2.48;0.52
125;-2.0;2.5;0.5
126;-2.0;2.52;0.48
