;0;1;2
0;-1.0;-0.0;2.0
1;-1.0;0.1;1.9
2;-1.0;0.2;1.8
3;-1.0;0.3;1.7
4;-1.0;0.4;1.6
5;-1.0;0.5;1.5
6;-1.0;0.6;1.4
7;-1.0;0.7;1.3
8;-1.0;0.8;1.2
9;-1.0;0.9;1.1
10;-1.0;1.0;1.0
11;-1.0;1.1;0.9
12;-1.0;1.2;0.8
13;-1.0;1.3;0.7
14;-1.0;1.4;0.6
15;-1.0;1.5;0.5
16;-1.0;1.6;0.4
17;-1.0;1.7;0.3
18;-1.0;1.8;0.2
19;-1.0;1.9;0.1
20;-1.0;2.0;0.0
21;-0.9;-0.1;2.0
22;-0.9;0.0;1.9
23;-0.9;0.1;1.8
24;-0.9;0.2;1.7
25;-0.9;0.3;1.6
26;-0.9;0.4;1.5
27;-0.9;0.5;1.4
28;-0.9;0.6;1.3
29;-0.9;0.7;1.2
30;-0.9;0.8;1.1
31;-0.9;0.9;1.0
32;-0.9;1.0;0.9
33;-0.9;1.1;0.8
34;-0.9;1.2;0.7
35;-0.9;1.3;0.6
36;-0.9;1.4;0.5
37;-0.9;1.5;0.4
38;-0.9;1.6;0.3
39;-0.9;1.7;0.2
40;-0.9;1.8;0.1
41;-0.9;1.9;0.0
42;-0.9;2.0;-0.1
43;-0.8;-0.2;2.0
44;-0.8;-0.1;1.9
45;-0.8;0.0;1.8
46;-0.8;0.1;1.7
47;-0.8;0.2;1.6
48;-0.8;0.3;1.5
49;-0.8;0.4;1.4
50;-0.8;0.5;1.3
51;-0.8;0.6;1.2
52;-0.8;0.7;1.1
53;-0.8;0.8;1.0
54;-0.8;0.9;0.9
55;-0.8;1.0;0.8
56;-0.8;1.1;0.7
57;-0.8;1.2;0.6
58;-0.8;1.3;0.5
59;-0.8;1.4;0.4
60;-0.8;1.5;0.3
61;-0.8;1.6;0.2
62;-0.8;1.7;0.1
63;-0.8;1.8;0.0
64;-0.8;1.9;-0.1
65;-0.8;2.0;-0.2
66;-0.7;-0.3;2.0
67;-0.7;-0.2;1.9
68;-0.7;-0.1;1.8
69;-0.7;0.0;1.7
70;-0.7;0.1;1.6
71;-0.7;0.2;1.5
72;-0.7;0.3;1.4
73;-0.7;0.4;1.3
74;-0.7;0.5;1.2
75;-0.7;0.6;1.1
76;-0.7;0.7;1.0
77;-0.7;0.8;0.9
78;-0.7;0.9;0.8
79;-0.7;1.0;0.7
80;-0.7;1.1;0.6
81;-0.7;1.2;0.5
82;-0.7;1.3;0.4
83;-0.7;1.4;0.3
