;0;1;2;3;4
0;-1.0;0.0;0.0;-0.0;2.0
1;-1.0;0.0;0.0;0.5;1.5
2;-1.0;0.0;0.0;1.0;1.0
3;-1.0;0.0;0.0;1.5;0.5
4;-1.0;0.0;0.0;2.0;0.0
5;-1.0;0.0;0.5;-0.5;2.0
6;-1.0;0.0;0.5;0.0;1.5
7;-1.0;0.0;0.5;0.5;1.0
8;-1.0;0.0;0.5;1.0;0.5
9;-1.0;0.0;0.5;1.5;0.0
10;-1.0;0.0;0.5;2.0;-0.5
11;-1.0;0.0;1.0;-1.0;2.0
12;-1.0;0.0;1.0;-0.5;1.5
13;-1.0;0.0;1.0;0.0;1.0
14;-1.0;0.0;1.0;0.5;0.5
15;-1.0;0.0;1.0;1.0;0.0
16;-1.0;0.0;1.0;1.5;-0.5
17;-1.0;0.0;1.0;2.0;-1.0
18;-1.0;0.0;1.5;-1.0;1.5
19;-1.0;0.0;1.5;-0.5;1.0
20;-1.0;0.0;1.5;0.0;0.5
21;-1.0;0.0;1.5;0.5;0.0
22;-1.0;0.0;1.5;1.0;-0.5
23;-1.0;0.0;1.5;1.5;-1.0
24;-1.0;0.0;2.0;0.0;0.0
25;-1.0;0.5;-0.5;-0.0;2.0
26;-1.0;0.5;-0.5;0.5;1.5
27;-1.0;0.5;-0.5;1.0;1.0
28;-1.0;0.5;-0.5;1.5;0.5
29;-1.0;0.5;-0.5;2.0;0.0
30;-1.0;0.5;0.0;-0.5;2.0
31;-1.0;0.5;0.0;0.0;1.5
32;-1.0;0.5;0.0;0.5;1.0
33;-1.0;0.5;0.0;1.0;0.5
34;-1.0;0.5;0.0;1.5;0.0
35;-1.0;0.5;0.0;2.0;-0.5
36;-1.0;0.5;0.5;-1.0;2.0
37;-1.0;0.5;0.5;-0.5;1.5
38;-1.0;0.5;0.5;0.0;1.0
39;-1.0;0.5;0.5;0.5;0.5
40;-1.0;0.5;0.5;1.0;0.0
41;-1.0;0.5;0.5;1.5;-0.5
42;-1.0;0.5;0.5;2.0;-1.0
43;-1.0;0.5;1.0;-1.0;1.5
44;-1.0;0.5;1.0;-0.5;1.0
45;-1.0;0.5;1.0;0.0;0.5
46;-1.0;0.5;1.0;0.5;0.0
47;-1.0;0.5;1.0;1.0;-0.5
48;-1.0;0.5;1.0;1.5;-1.0
49;-1.0;0.5;1.5;0.0;0.0
50;-1.0;0.5;2.0;-1.0;0.5
51;-1.0;0.5;2.0;-0.5;0.0
52;-1.0;0.5;2.0;0.0;-0.5
53;-1.0;0.5;2.0;0.5;-1.0
54;-1.0;1.0;-1.0;-0.0;2.0
55;-1.0;1.0;-1.0;0.5;1.5
56;-1.0;1.0;-1.0;1.0;1.0
57;-1.0;1.0;-1.0;1.5;0.5
58;-1.0;1.0;-1.0;2.0;0.0
59;-1.0;1.0;-0.5;-0.5;2.0
60;-1.0;1.0;-0.5;0.0;1.5
61;-1.0;1.0;-0.5;0.5;1.0
