;0;1;2;3
0;-2.0;0.0;-0.0;3.0
1;-2.0;0.0;0.1;2.9
2;-2.0;0.0;0.2;2.8
3;-2.0;0.0;0.3;2.7
4;-2.0;0.0;0.4;2.6
5;-2.0;0.0;0.5;2.5
6;-2.0;0.0;0.6;2.4
7;-2.0;0.0;0.7;2.3
8;-2.0;0.0;0.8;2.2
9;-2.0;0.0;0.9;2.1
10;-2.0;0.0;1.0;2.0
11;-2.0;0.0;1.1;1.9
12;-2.0;0.0;1.2;1.8
13;-2.0;0.0;1.3;1.7
14;-2.0;0.0;1.4;1.6
15;-2.0;0.0;1.5;1.5
16;-2.0;0.0;1.6;1.4
17;-2.0;0.0;1.7;1.3
18;-2.0;0.0;1.8;1.2
19;-2.0;0.0;1.9;1.1
20;-2.0;0.0;2.0;1.0
21;-2.0;0.0;2.1;0.9
22;-2.0;0.0;2.2;0.8
23;-2.0;0.0;2.3;0.7
24;-2.0;0.0;2.4;0.6
25;-2.0;0.0;2.5;0.5
26;-2.0;0.0;2.6;0.4
27;-2.0;0.0;2.7;0.3
28;-2.0;0.0;2.8;0.2
29;-2.0;0.0;2.9;0.1
30;-2.0;0.0;3.0;0.0
31;-2.0;0.1;-0.1;3.0
32;-2.0;0.1;-0.0;2.9
33;-2.0;0.1;0.1;2.8
34;-2.0;0.1;0.2;2.7
35;-2.0;0.1;0.3;2.6
36;-2.0;0.1;0.4;2.5
37;-2.0;0.1;0.5;2.4
38;-2.0;0.1;0.6;2.3
39;-2.0;0.1;0.7;2.2
40;-2.0;0.1;0.8;2.1
41;-2.0;0.1;0.9;2.0
42;-2.0;0.1;1.0;1.9
43;-2.0;0.1;1.1;1.8
44;-2.0;0.1;1.2;1.7
45;-2.0;0.1;1.3;1.6
46;-2.0;0.1;1.4;1.5
47;-2.0;0.1;1.5;1.4
48;-2.0;0.1;1.6;1.3
49;-2.0;0.1;1.7;1.2
50;-2.0;0.1;1.8;1.1
51;-2.0;0.1;1.9;1.0
52;-2.0;0.1;2.0;0.9
53;-2.0;0.1;2.1;0.8
54;-2.0;0.1;2.2;0.7
55;-2.0;0.1;2.3;0.6
56;-2.0;0.1;2.4;0.5
57;-2.0;0.1;2.5;0.4
58;-2.0;0.1;2.6;0.3
59;-2.0;0.1;2.7;0.2
60;-2.0;0.1;2.8;0.1
61;-2.0;0.1;2.9;0.0
62;-2.0;0.1;3.0;-0.1
63;-2.0;0.2;-0.2;3.0
64;-2.0;0.2;-0.1;2.9
65;-2.0;0.2;0.0;2.8
66;-2.0;0.2;0.1;2.7
67;-2.0;0.2;0.2;2.6
68;-2.0;0.2;0.3;2.5
69;-2.0;0.2;0.4;2.4
70;-2.0;0.2;0.5;2.3
71;-2.0;0.2;0.6;2.2
72;-2.0;0.2;0.7;2.1
73;-2.0;0.2;0.8;2.0
74;-2.0;0.2;0.9;1.9
75;-2.0;0.2;1.0;1.8
76;-2.0;0.2;1.1;1.7
77;-2.0;0.2;1.2;1.6
78;-2.0;0.2;1.3;1.5
79;-2.0;0.2;1.4;1.4
80;-2.0;0.2;1.5;1.3
81;-2.0;0.2;1.6;1.2
82;-2.0;0.2;1.7;1.1
83;-2.0;0.2;1.8;1.0
84;-2.0;0.2;1.9;0.9
85;-2.0;0.2;2.0;0.8
86;-2.0;0.2;2.1;0.7
87;-2.0;0.2;2.2;0.6
88;-2.0;0.2;2.3;0.5
89;-2.0;0.2;2.4;0.4
90;-2.0;0.2;2.5;0.3
91;-2.0;0.2;2.6;0.2
92;-2.0;0.2;2.7;0.1
93;-2.0;0.2;2.8;0.0
94;-2.0;0.2;2.9;-0.1
95;-2.0;0.2;3.0;-0.2
96;-2.0;0.30000000000000004;-0.3;3.0
97;-2.0;0.30000000000000004;-0.2;2.9
98;-2.0;0.30000000000000004;-0.1;2.8
99;-2.0;0.30000000000000004;0.0;2.7
100;-2.0;0.30000000000000004;0.1;2.6
101;-2.0;0.30000000000000004;0.2;2.5
102;-2.0;0.30000000000000004;0.3;2.4
103;-2.0;0.30000000000000004;0.4;2.3
104;-2.0;0.30000000000000004;0.5;2.2
105;-2.0;0.30000000000000004;0.6;2.1
106;-2.0;0.30000000000000004;0.7;2.0
107;-2.0;0.30000000000000004;0.8;1.9
108;-2.0;0.30000000000000004;0.9;1.8
109;-2.0;0.30000000000000004;1.0;1.7
110;-2.0;0.30000000000000004;1.1;1.6
111;-2.0;0.30000000000000004;1.2;1.5
112;-2.0;0.30000000000000004;1.3;1.4
113;-2.0;0.30000000000000004;1.4;1.3
114;-2.0;0.30000000000000004;1.5;1.2
115;-2.0;0.30000000000000004;1.6;1.1
116;-2.0;0.30000000000000004;1.7;1.0
117;-2.0;0.30000000000000004;1.8;0.9
118;-2.0;0.30000000000000004;1.9;0.8
119;-2.0;0.30000000000000004;2.0;0.7
120;-2.0;0.30000000000000004;2.1;0.6
121;-2.0;0.30000000000000004;2.2;0.5
122;-2.0;0.30000000000000004;2.3;0.4
