;0;1;2;3
0;-2.0;0.0;-0.0;3.0
1;-2.0;0.0;0.2;2.8
2;-2.0;0.0;0.4;2.6
3;-2.0;0.0;0.6;2.4
4;-2.0;0.0;0.8;2.2
5;-2.0;0.0;1.0;2.0
6;-2.0;0.0;1.2;1.8
7;-2.0;0.0;1.4;1.6
8;-2.0;0.0;1.6;1.4
9;-2.0;0.0;1.8;1.2
10;-2.0;0.0;2.0;1.0
11;-2.0;0.0;2.2;0.8
12;-2.0;0.0;2.4;0.6
13;-2.0;0.0;2.6;0.4
14;-2.0;0.0;2.8;0.2
15;-2.0;0.0;3.0;0.0
16;-2.0;0.2;-0.2;3.0
17;-2.0;0.2;0.0;2.8
18;-2.0;0.2;0.2;2.6
19;-2.0;0.2;0.4;2.4
20;-2.0;0.2;0.6;2.2
21;-2.0;0.2;0.8;2.0
22;-2.0;0.2;1.0;1.8
23;-2.0;0.2;1.2;1.6
24;-2.0;0.2;1.4;1.4
25;-2.0;0.2;1.6;1.2
26;-2.0;0.2;1.8;1.0
27;-2.0;0.2;2.0;0.8
28;-2.0;0.2;2.2;0.6
29;-2.0;0.2;2.4;0.4
30;-2.0;0.2;2.6;0.2
31;-2.0;0.2;2.8;0.0
32;-2.0;0.2;3.0;-0.2
33;-2.0;0.4;-0.4;3.0
34;-2.0;0.4;-0.2;2.8
35;-2.0;0.4;0.0;2.6
36;-2.0;0.4;0.2;2.4
37;-2.0;0.4;0.4;2.2
38;-2.0;0.4;0.6;2.0
39;-2.0;0.4;0.8;1.8
40;-2.0;0.4;1.0;1.6
41;-2.0;0.4;1.2;1.4
42;-2.0;0.4;1.4;1.2
43;-2.0;0.4;1.6;1.0
44;-2.0;0.4;1.8;0.8
45;-2.0;0.4;2.0;0.6
46;-2.0;0.4;2.2;0.4
47;-2.0;0.4;2.4;0.2
48;-2.0;0.4;2.6;0.0
49;-2.0;0.4;2.8;-0.2
50;-2.0;0.4;3.0;-0.4
51;-2.0;0.6000000000000001;-0.6;3.0
52;-2.0;0.6000000000000001;-0.4;2.8
53;-2.0;0.6000000000000001;-0.2;2.6
54;-2.0;0.6000000000000001;0.0;2.4
55;-2.0;0.6000000000000001;0.2;2.2
56;-2.0;0.6000000000000001;0.4;2.0
57;-2.0;0.6000000000000001;0.6;1.8
58;-2.0;0.6000000000000001;0.8;1.6
59;-2.0;0.6000000000000001;1.0;1.4
60;-2.0;0.6000000000000001;1.2;1.2
61;-2.0;0.6000000000000001;1.4;1.0
62;-2.0;0.6000000000000001;1.6;0.8
63;-2.0;0.6000000000000001;1.8;0.6
64;-2.0;0.6000000000000001;2.0;0.4
65;-2.0;0.6000000000000001;2.2;0.2
66;-2.0;0.6000000000000001;2.4;0.0
67;-2.0;0.6000000000000001;2.6;-0.2
68;-2.0;0.6000000000000001;2.8;-0.4
69;-2.0;0.6000000000000001;3.0;-0.6
70;-2.0;0.8;-0.8;3.0
71;-2.0;0.8;-0.6;2.8
72;-2.0;0.8;-0.4;2.6
73;-2.0;0.8;-0.2;2.4
74;-2.0;0.8;0.0;2.2
75;-2.0;0.8;0.2;2.0
76;-2.0;0.8;0.4;1.8
77;-2.0;0.8;0.6;1.6
78;-2.0;0.8;0.8;1.4
79;-2.0;0.8;1.0;1.2
80;-2.0;0.8;1.2;1.0
81;-2.0;0.8;1.4;0.8
82;-2.0;0.8;1.6;0.6
83;-2.0;0.8;1.8;0.4
84;-2.0;0.8;2.0;0.2
85;-2.0;0.8;2.2;0.0
86;-2.0;0.8;2.4;-0.2
87;-2.0;0.8;2.6;-0.4
88;-2.0;0.8;2.8;-0.6
89;-2.0;0.8;3.0;-0.8
90;-2.0;1.0;-1.0;3.0
91;-2.0;1.0;-0.8;2.8
92;-2.0;1.0;-0.6;2.6
93;-2.0;1.0;-0.4;2.4
94;-2.0;1.0;-0.2;2.2
95;-2.0;1.0;0.0;2.0
96;-2.0;1.0;0.2;1.8
97;-2.0;1.0;0.4;1.6
98;-2.0;1.0;0.6;1.4
99;-2.0;1.0;0.8;1.2
100;-2.0;1.0;1.0;1.0
101;-2.0;1.0;1.2;0.8
102;-2.0;1.0;1.4;0.6
103;-2.0;1.0;1.6;0.4
104;-2.0;1.0;1.8;0.2
105;-2.0;1.0;2.0;0.0
106;-2.0;1.0;2.2;-0.2
107;-2.0;1.0;2.4;-0.4
108;-2.0;1.0;2.6;-0.6
109;-2.0;1.0;2.8;-0.8
110;-2.0;1.0;3.0;-1.0
111;-2.0;1.2000000000000002;-1.2;3.0
112;-2.0;1.2000000000000002;-1.0;2.8
113;-2.0;1.2000000000000002;-0.8;2.6
114;-2.0;1.2000000000000002;-0.6;2.4
115;-2.0;1.2000000000000002;-0.4;2.2
116;-2.0;1.2000000000000002;-0.2;2.0
117;-2.0;1.2000000000000002;0.0;1.8
118;-2.0;1.2000000000000002;0.2;1.6
119;-2.0;1.2000000000000002;0.4;1.4
120;-2.0;1.2000000000000002;0.6;1.2
121;-2.0;1.2000000000000002;0.8;1.0
122;-2.0;1.2000000000000002;1.0;0.8
123;-2.0;1.2000000000000002;1.2;0.6
124;-2.0;1.2000000000000002;1.4;0.4
125;-2.0;1.2000000000000002;1.6;0.2
126;-2.0;1.2000000000000002;1.8;0.0
127;-2.0;1.2000000000000002;2.0;-0.2
128;-2.0;1.2000000000000002;2.2;-0.4
129;-2.0;1.2000000000000002;2.4;-0.6
130;-2.0;1.2000000000000002;2.6;-0.8
131;-2.0;1.2000000000000002;2.8;-1.0
132;-2.0;1.2000000000000002;3.0;-1.2
133;-2.0;1.4000000000000001;-1.4;3.0
134;-2.0;1.4000000000000001;-1.2;2.8
135;-2.0;1.4000000000000001;-1.0;2.6
136;-2.0;1.4000000000000001;-0.8;2.4
137;-2.0;1.4000000000000001;-0.6;2.2
138;-2.0;1.4000000000000001;-0.4;2.0
139;-2.0;1.4000000000000001;-0.2;1.8
140;-2.0;1.4000000000000001;0.0;1.6
141;-2.0;1.4000000000000001;0.2;1.4
142;-2.0;1.4000000000000001;0.4;1.2
143;-2.0;1.4000000000000001;0.6;1.0
144;-2.0;1.4000000000000001;0.8;0.8
145;-2.0;1.4000000000000001;1.0;0.6
146;-2.0;1.4000000000000001;1.2;0.4
147;-2.0;1.4000000000000001;1.4;0.2
148;-2.0;1.4000000000000001;1.6;0.0
149;-2.0;1.4000000000000001;1.8;-0.2
150;-2.0;1.4000000000000001;2.0;-0.4
151;-2.0;1.4000000000000001;2.2;-0.6
152;-2.0;1.4000000000000001;2.4;-0.8
153;-2.0;1.4000000000000001;2.6;-1.0
154;-2.0;1.4000000000000001;2.8;-1.2
155;-2.0;1.4000000000000001;3.0;-1.4
156;-2.0;1.6;-1.6;3.0
157;-2.0;1.6;-1.4;2.8
158;-2.0;1.6;-1.2;2.6
159;-2.0;1.6;-1.0;2.4
160;-2.0;1.6;-0.8;2.2
161;-2.0;1.6;-0.6;2.0
162;-2.0;1.6;-0.4;1.8
163;-2.0;1.6;-0.2;1.6
164;-2.0;1.6;0.0;1.4
165;-2.0;1.6;0.2;1.2
166;-2.0;1.6;0.4;1.0
167;-2.0;1.6;0.6;0.8
168;-2.0;1.6;0.8;0.6
169;-2.0;1.6;1.0;0.4
170;-2.0;1.6;1.2;0.2
171;-2.0;1.6;1.4;0.0
172;-2.0;1.6;1.6;-0.2
173;-2.0;1.6;1.8;-0.4
174;-2.0;1.6;2.0;-0.6
175;-2.0;1.6;2.2;-0.8
176;-2.0;1.6;2.4;-1.0
177;-2.0;1.6;2.6;-1.2
178;-2.0;1.6;2.8;-1.4
179;-2.0;1.6;3.0;-1.6
180;-2.0;1.8;-1.8;3.0
181;-2.0;1.8;-1.6;2.8
182;-2.0;1.8;-1.4;2.6
183;-2.0;1.8;-1.2;2.4
