;0;1;2
0;0.0;0.0;1.0
1;0.0;0.01;0.99
2;0.0;0.02;0.98
3;0.0;0.03;0.97
4;0.0;0.04;0.96
5;0.0;0.05;0.95
6;0.0;0.06;0.94
7;0.0;0.07;0.93
8;0.0;0.08;0.92
9;0.0;0.09;0.91
10;0.0;0.1;0.9
11;0.0;0.11;0.89
12;0.0;0.12;0.88
13;0.0;0.13;0.87
14;0.0;0.14;0.86
15;0.0;0.15;0.85
16;0.0;0.16;0.84
17;0.0;0.17;0.83
18;0.0;0.18;0.82
19;0.0;0.19;0.81
20;0.0;0.2;0.8
21;0.0;0.21;0.79
22;0.0;0.22;0.78
23;0.0;0.23;0.77
24;0.0;0.24;0.76
25;0.0;0.25;0.75
26;0.0;0.26;0.74
27;0.0;0.27;0.73
28;0.0;0.28;0.72
29;0.0;0.29;0.71
30;0.0;0.3;0.7
31;0.0;0.31;0.69
32;0.0;0.32;0.68
33;0.0;0.33;0.67
34;0.0;0.34;0.66
35;0.0;0.35;0.65
36;0.0;0.36;0.64
37;0.0;0.37;0.63
38;0.0;0.38;0.62
39;0.0;0.39;0.61
40;0.0;0.4;0.6
41;0.0;0.41;0.59
42;0.0;0.42;0.58
43;0.0;0.43;0.57
44;0.0;0.44;0.56
45;0.0;0.45;0.55
46;0.0;0.46;0.54
47;0.0;0.47;0.53
48;0.0;0.48;0.52
49;0.0;0.49;0.51
50;0.0;0.5;0.5
51;0.0;0.51;0.49
52;0.0;0.52;0.48
53;0.0;0.53;0.47
54;0.0;0.54;0.46
55;0.0;0.55;0.45
56;0.0;0.56;0.44
57;0.0;0.57;0.43
58;0.0;0.58;0.42
59;0.0;0.59;0.41
60;0.0;0.6;0.4
61;0.0;0.61;0.39
62;0.0;0.62;0.38
63;0.0;0.63;0.37
64;0.0;0.64;0.36
65;0.0;0.65;0.35
66;0.0;0.66;0.34
67;0.0;0.67;0.33
68;0.0;0.68;0.32
69;0.0;0.69;0.31
70;0.0;0.7;0.3
71;0.0;0.71;0.29
72;0.0;0.72;0.28
73;0.0;0.73;0.27
74;0.0;0.74;0.26
75;0.0;0.75;0.25
76;0.0;0.76;0.24
77;0.0;0.77;0.23
78;0.0;0.78;0.22
79;0.0;0.79;0.21
80;0.0;0.8;0.2
81;0.0;0.81;0.19
82;0.0;0.82;0.18
83;0.0;0.83;0.17
84;0.0;0.84;0.16
85;0.0;0.85;0.15
86;0.0;0.86;0.14
87;0.0;0.87;0.13
88;0.0;0.88;0.12
89;0.0;0.89;0.11
90;0.0;0.9;0.1
91;0.0;0.91;0.09
92;0.0;0.92;0.08
93;0.0;0.93;0.07
94;0.0;0.94;0.06
95;0.0;0.95;0.05
96;0.0;0.96;0.04
97;0.0;0.97;0.03
98;0.0;0.98;0.02
99;0.0;0.99;0.01
100;0.0;1.0;0.0
101;0.01;0.0;0.99
102;0.01;0.01;0.98
103;0.01;0.02;0.97
104;0.01;0.03;0.96
105;0.01;0.04;0.95
106;0.01;0.05;0.94
107;0.01;0.06;0.93
108;0.01;0.07;0.92
109;0.01;0.08;0.91
110;0.01;0.09;0.9
111;0.01;0.1;0.89
112;0.01;0.11;0.88
113;0.01;0.12;0.87
114;0.01;0.13;0.86
115;0.01;0.14;0.85
116;0.01;0.15;0.84
117;0.01;0.16;0.83
118;0.01;0.17;0.82
119;0.01;0.18;0.81
120;0.01;0.19;0.8
121;0.01;0.2;0.79
122;0.01;0.21;0.78
123;0.01;0.22;0.77
124;0.01;0.23;0.76
125;0.01;0.24;0.75
126;0.01;0.25;0.74
127;0.01;0.26;0.73
128;0.01;0.27;0.72
129;0.01;0.28;0.71
130;0.01;0.29;0.7
131;0.01;0.3;0.69
132;0.01;0.31;0.68
133;0.01;0.32;0.67
134;0.01;0.33;0.66
135;0.01;0.34;0.65
136;0.01;0.35;0.64
137;0.01;0.36;0.63
138;0.01;0.37;0.62
139;0.01;0.38;0.61
140;0.01;0.39;0.6
141;0.01;0.4;0.59
142;0.01;0.41;0.58
143;0.01;0.42;0.57
144;0.01;0.43;0.56
145;0.01;0.44;0.55
146;0.01;0.45;0.54
147;0.01;0.46;0.53
148;0.01;0.47;0.52
149;0.01;0.48;0.51
150;0.01;0.49;0.5
151;0.01;0.5;0.49
152;0.01;0.51;0.48
153;0.01;0.52;0.47
154;0.01;0.53;0.46
155;0.01;0.54;0.45
156;0.01;0.55;0.44
157;0.01;0.56;0.43
158;0.01;0.57;0.42
159;0.01;0.58;0.41
160;0.01;0.59;0.4
161;0.01;0.6;0.39
162;0.01;0.61;0.38
163;0.01;0.62;0.37
164;0.01;0.63;0.36
165;0.01;0.64;0.35
166;0.01;0.65;0.34
167;0.01;0.66;0.33
168;0.01;0.67;0.32
169;0.01;0.68;0.31
170;0.01;0.69;0.3
171;0.01;0.7;0.29
172;0.01;0.71;0.28
173;0.01;0.72;0.27
174;0.01;0.73;0.26
175;0.01;0.74;0.25
176;0.01;0.75;0.24
177;0.01;0.76;0.23
