;0;1;2;3;4
0;0.0;0.0;0.0;0.0;1.0
1;0.0;0.0;0.0;0.33;0.67
2;0.0;0.0;0.0;0.66;0.34
3;0.0;0.0;0.0;0.99;0.01
4;0.0;0.0;0.33;0.0;0.67
5;0.0;0.0;0.33;0.33;0.34
6;0.0;0.0;0.33;0.66;0.01
7;0.0;0.0;0.66;0.0;0.34
8;0.0;0.0;0.66;0.33;0.01
9;0.0;0.0;0.99;0.0;0.01
10;0.0;0.33;0.0;0.0;0.67
11;0.0;0.33;0.0;0.33;0.34
12;0.0;0.33;0.0;0.66;0.01
13;0.0;0.33;0.33;0.0;0.34
14;0.0;0.33;0.33;0.33;0.01
15;0.0;0.33;0.66;0.0;0.01
16;0.0;0.66;0.0;0.0;0.34
17;0.0;0.66;0.0;0.33;0.01
18;0.0;0.66;0.33;0.0;0.01
19;0.0;0.99;0.0;0.0;0.01
20;0.33;0.0;0.0;0.0;0.67
21;0.33;0.0;0.0;0.33;0.34
22;0.33;0.0;0.0;0.66;0.01
23;0.33;0.0;0.33;0.0;0.34
24;0.33;0.0;0.33;0.33;0.01
25;0.33;0.0;0.66;0.0;0.01
26;0.33;0.33;0.0;0.0;0.34
27;0.33;0.33;0.0;0.33;0.01
28;0.33;0.33;0.33;0.0;0.01
29;0.33;0.66;0.0;0.0;0.01
30;0.66;0.0;0.0;0.0;0.34
31;0.66;0.0;0.0;0.33;0.01
32;0.66;0.0;0.33;0.0;0.01
33;0.66;0.33;0.0;0.0;0.01
34;0.99;0.0;0.0;0.0;0.01
