;0;1
0;-2.0;3.0
1;-1.99;2.99
2;-1.98;2.98
3;-1.97;2.97
4;-1.96;2.96
5;-1.95;2.95
6;-1.94;2.94
7;-1.93;2.93
8;-1.92;2.92
9;-1.91;2.91
10;-1.9;2.9
11;-1.89;2.89
12;-1.88;2.88
13;-1.87;2.87
14;-1.86;2.86
15;-1.85;2.85
16;-1.84;2.84
17;-1.83;2.83
18;-1.82;2.82
19;-1.81;2.81
20;-1.8;2.8
21;-1.79;2.79
22;-1.78;2.78
23;-1.77;2.77
24;-1.76;2.76
25;-1.75;2.75
26;-1.74;2.74
27;-1.73;2.73
28;-1.72;2.72
29;-1.71;2.71
30;-1.7;2.7
31;-1.69;2.69
32;-1.68;2.68
33;-1.67;2.67
34;-1.66;2.66
35;-1.65;2.65
36;-1.64;2.64
37;-1.63;2.63
38;-1.62;2.62
39;-1.61;2.61
40;-1.6;2.6
41;-1.59;2.59
42;-1.58;2.58
43;-1.57;2.57
44;-1.56;2.56
45;-1.55;2.55
46;-1.54;2.54
47;-1.53;2.53
48;-1.52;2.52
49;-1.51;2.51
50;-1.5;2.5
51;-1.49;2.49
52;-1.48;2.48
53;-1.47;2.47
54;-1.46;2.46
55;-1.45;2.45
56;-1.44;2.44
57;-1.43;2.43
58;-1.42;2.42
59;-1.41;2.41
60;-1.4;2.4
61;-1.39;2.39
62;-1.38;2.38
63;-1.37;2.37
64;-1.36;2.36
65;-1.35;2.35
66;-1.34;2.34
67;-1.33;2.33
68;-1.32;2.32
69;-1.31;2.31
70;-1.3;2.3
71;-1.29;2.29
72;-1.28;2.28
73;-1.27;2.27
74;-1.26;2.26
75;-1.25;2.25
76;-1.24;2.24
77;-1.23;2.23
78;-1.22;2.22
79;-1.21;2.21
80;-1.2;2.2
81;-1.19;2.19
82;-1.18;2.18
83;-1.17;2.17
84;-1.16;2.16
85;-1.15;2.15
86;-1.14;2.14
87;-1.13;2.13
88;-1.12;2.12
89;-1.11;2.11
90;-1.1;2.1
91;-1.09;2.09
92;-1.08;2.08
93;-1.07;2.07
94;-1.06;2.06
95;-1.05;2.05
96;-1.04;2.04
97;-1.03;2.03
98;-1.02;2.02
99;-1.01;2.01
100;-1.0;2.0
101;-0.99;1.99
102;-0.98;1.98
103;-0.97;1.97
104;-0.96;1.96
105;-0.95;1.95
106;-0.94;1.94
107;-0.93;1.93
108;-0.92;1.92
109;-0.91;1.91
110;-0.9;1.9
111;-0.89;1.89
112;-0.88;1.88
113;-0.87;1.87
114;-0.86;1.86
115;-0.85;1.85
116;-0.84;1.84
117;-0.83;1.83
118;-0.82;1.82
119;-0.81;1.81
120;-0.8;1.8
121;-0.79;1.79
122;-0.78;1.78
123;-0.77;1.77
124;-0.76;1.76
125;-0.75;1.75
126;-0.74;1.74
127;-0.73;1.73
128;-0.72;1.72
129;-0.71;1.71
130;-0.7;1.7
