;0;1
131;-0.69;1.69
132;-0.68;1.68
133;-0.67;1.67
134;-0.66;1.66
135;-0.65;1.65
136;-0.64;1.64
137;-0.63;1.63
138;-0.62;1.62
139;-0.61;1.61
140;-0.6;1.6
141;-0.59;1.59
142;-0.58;1.58
143;-0.57;1.57
144;-0.56;1.56
145;-0.55;1.55
146;-0.54;1.54
147;-0.53;1.53
148;-0.52;1.52
149;-0.51;1.51
150;-0.5;1.5
151;-0.49;1.49
152;-0.48;1.48
153;-0.47;1.47
154;-0.46;1.46
155;-0.45;1.45
156;-0.44;1.44
157;-0.43;1.43
158;-0.42;1.42
159;-0.41;1.41
160;-0.4;1.4
161;-0.39;1.39
162;-0.38;1.38
163;-0.37;1.37
164;-0.36;1.36
165;-0.35;1.35
166;-0.34;1.34
167;-0.33;1.33
168;-0.32;1.32
169;-0.31;1.31
170;-0.3;1.3
171;-0.29;1.29
172;-0.28;1.28
173;-0.27;1.27
174;-0.26;1.26
175;-0.25;1.25
176;-0.24;1.24
177;-0.23;1.23
178;-0.22;1.22
179;-0.21;1.21
180;-0.2;1.2
181;-0.19;1.19
182;-0.18;1.18
183;-0.17;1.17
184;-0.16;1.16
185;-0.15;1.15
186;-0.14;1.14
187;-0.13;1.13
188;-0.12;1.12
189;-0.11;1.11
190;-0.1;1.1
191;-0.09;1.09
192;-0.08;1.08
193;-0.07;1.07
194;-0.06;1.06
195;-0.05;1.05
196;-0.04;1.04
197;-0.03;1.03
198;-0.02;1.02
199;-0.01;1.01
200;0.0;1.0
201;0.01;0.99
202;0.02;0.98
203;0.03;0.97
204;0.04;0.96
205;0.05;0.95
206;0.06;0.94
207;0.07;0.93
208;0.08;0.92
209;0.09;0.91
210;0.1;0.9
211;0.11;0.89
212;0.12;0.88
213;0.13;0.87
214;0.14;0.86
215;0.15;0.85
216;0.16;0.84
217;0.17;0.83
218;0.18;0.82
219;0.19;0.81
220;0.2;0.8
221;0.21;0.79
222;0.22;0.78
223;0.23;0.77
224;0.24;0.76
225;0.25;0.75
226;0.26;0.74
227;0.27;0.73
228;0.28;0.72
229;0.29;0.71
230;0.3;0.7
231;0.31;0.69
232;0.32;0.68
233;0.33;0.67
234;0.34;0.66
235;0.35;0.65
236;0.36;0.64
237;0.37;0.63
238;0.38;0.62
239;0.39;0.61
240;0.4;0.6
241;0.41;0.59
242;0.42;0.58
243;0.43;0.57
244;0.44;0.56
245;0.45;0.55
246;0.46;0.54
247;0.47;0.53
248;0.48;0.52
249;0.49;0.51
250;0.5;0.5
251;0.51;0.49
252;0.52;0.48
253;0.53;0.47
254;0.54;0.46
255;0.55;0.45
256;0.56;0.44
257;0.57;0.43
258;0.58;0.42
259;0.59;0.41
260;0.6;0.4
261;0.61;0.39
262;0.62;0.38
263;0.63;0.37
264;0.64;0.36
265;0.65;0.35
266;0.66;0.34
267;0.67;0.33
268;0.68;0.32
269;0.69;0.31
270;0.7;0.3
271;0.71;0.29
272;0.72;0.28
273;0.73;0.27
274;0.74;0.26
275;0.75;0.25
276;0.76;0.24
277;0.77;0.23
278;0.78;0.22
279;0.79;0.21
280;0.8;0.2
281;0.81;0.19
282;0.82;0.18
283;0.83;0.17
284;0.84;0.16
285;0.85;0.15
286;0.86;0.14
287;0.87;0.13
288;0.88;0.12
289;0.89;0.11
290;0.9;0.1
291;0.91;0.09
292;0.92;0.08
293;0.93;0.07
294;0.94;0.06
295;0.95;0.05
296;0.96;0.04
297;0.97;0.03
298;0.98;0.02
299;0.99;0.01
300;1.0;0.0
301;1.01;-0.01
302;1.02;-0.02
303;1.03;-0.03
304;1.04;-0.04
305;1.05;-0.05
306;1.06;-0.06
307;1.07;-0.07
308;1.08;-0.08
309;1.09;-0.09
310;1.1;-0.1
311;1.11;-0.11
312;1.12;-0.12
313;1.13;-0.13
314;1.14;-0.14
315;1.15;-0.15
316;1.16;-0.16
317;1.17;-0.17
318;1.18;-0.18
319;1.19;-0.19
320;1.2;-0.2
321;1.21;-0.21
322;1.22;-0.22
323;1.23;-0.23
324;1.24;-0.24
325;1.25;-0.25
326;1.26;-0.26
327;1.27;-0.27
328;1.28;-0.28
329;1.29;-0.29
330;1.3;-0.3
331;1.31;-0.31
332;1.32;-0.32
333;1.33;-0.33
334;1.34;-0.34
335;1.35;-0.35
336;1.36;-0.36
337;1.37;-0.37
338;1.38;-0.38
339;1.39;-0.39
340;1.4;-0.4
341;1.41;-0.41
342;1.42;-0.42
343;1.43;-0.43
344;1.44;-0.44
345;1.45;-0.45
346;1.46;-0.46
347;1.47;-0.47
348;1.48;-0.48
349;1.49;-0.49
350;1.5;-0.5
351;1.51;-0.51
352;1.52;-0.52
353;1.53;-0.53
354;1.54;-0.54
355;1.55;-0.55
356;1.56;-0.56
357;1.57;-0.57
358;1.58;-0.58
359;1.59;-0.59
360;1.6;-0.6
361;1.61;-0.61
362;1.62;-0.62
363;1.63;-0.63
364;1.64;-0.64
365;1.65;-0.65
366;1.66;-0.66
367;1.67;-0.67
368;1.68;-0.68
369;1.69;-0.69
370;1.7;-0.7
371;1.71;-0.71
372;1.72;-0.72
373;1.73;-0.73
374;1.74;-0.74
375;1.75;-0.75
376;1.76;-0.76
377;1.77;-0.77
378;1.78;-0.78
379;1.79;-0.79
380;1.8;-0.8
381;1.81;-0.81
382;1.82;-0.82
383;1.83;-0.83
384;1.84;-0.84
385;1.85;-0.85
386;1.86;-0.86
387;1.87;-0.87
388;1.88;-0.88
389;1.89;-0.89
390;1.9;-0.9
391;1.91;-0.91
392;1.92;-0.92
393;1.93;-0.93
394;1.94;-0.94
395;1.95;-0.95
396;1.96;-0.96
397;1.97;-0.97
398;1.98;-0.98
399;1.99;-0.99
400;2.0;-1.0
401;2.01;-1.01
402;2.02;-1.02
403;2.03;-1.03
404;2.04;-1.04
405;2.05;-1.05
406;2.06;-1.06
407;2.07;-1.07
408;2.08;-1.08
409;2.09;-1.09
410;2.1;-1.1
411;2.11;-1.11
412;2.12;-1.12
413;2.13;-1.13
414;2.14;-1.14
415;2.15;-1.15
416;2.16;-1.16
417;2.17;-1.17
418;2.18;-1.18
419;2.19;-1.19
420;2.2;-1.2
421;2.21;-1.21
422;2.22;-1.22
423;2.23;-1.23
424;2.24;-1.24
425;2.25;-1.25
426;2.26;-1.26
427;2.27;-1.27
428;2.28;-1.28
429;2.29;-1.29
430;2.3;-1.3
431;2.31;-1.31
432;2.32;-1.32
433;2.33;-1.33
434;2.34;-1.34
435;2.35;-1.35
436;2.36;-1.36
437;2.37;-1.37
438;2.38;-1.38
439;2.39;-1.39
440;2.4;-1.4
441;2.41;-1.41
442;2.42;-1.42
443;2.43;-1.43
444;2.44;-1.44
445;2.45;-1.45
446;2.46;-1.46
447;2.47;-1.47
448;2.48;-1.48
449;2.49;-1.49
450;2.5;-1.5
451;2.51;-1.51
452;2.52;-1.52
453;2.53;-1.53
454;2.54;-1.54
455;2.55;-1.55
456;2.56;-1.56
457;2.57;-1.57
458;2.58;-1.58
459;2.59;-1.59
460;2.6;-1.6
461;2.61;-1.61
462;2.62;-1.62
463;2.63;-1.63
464;2.64;-1.64
465;2.65;-1.65
466;2.66;-1.66
467;2.67;-1.67
468;2.68;-1.68
469;2.69;-1.69
470;2.7;-1.7
471;2.71;-1.71
472;2.72;-1.72
473;2.73;-1.73
474;2.74;-1.74
475;2.75;-1.75
476;2.76;-1.76
477;2.77;-1.77
478;2.78;-1.78
479;2.79;-1.79
480;2.8;-1.8
481;2.81;-1.81
482;2.82;-1.82
483;2.83;-1.83
484;2.84;-1.84
485;2.85;-1.85
486;2.86;-1.86
487;2.87;-1.87
488;2.88;-1.88
489;2.89;-1.89
490;2.9;-1.9
491;2.91;-1.91
492;2.92;-1.92
493;2.93;-1.93
494;2.94;-1.94
495;2.95;-1.95
496;2.96;-1.96
497;2.97;-1.97
498;2.98;-1.98
499;2.99;-1.99
500;3.0;-2.0
