;0;1
0;-2.0;3.0
1;-1.9;2.9
2;-1.8;2.8
3;-1.7;2.7
4;-1.6;2.6
5;-1.5;2.5
6;-1.4;2.4
7;-1.3;2.3
8;-1.2;2.2
9;-1.1;2.1
10;-1.0;2.0
11;-0.9;1.9
12;-0.8;1.8
13;-0.7;1.7
14;-0.6;1.6
15;-0.5;1.5
16;-0.4;1.4
17;-0.3;1.3
18;-0.2;1.2
19;-0.1;1.1
20;0.0;1.0
21;0.1;0.9
22;0.2;0.8
23;0.3;0.7
24;0.4;0.6
25;0.5;0.5
26;0.6;0.4
27;0.7;0.3
28;0.8;0.2
29;0.9;0.1
30;1.0;0.0
31;1.1;-0.1
32;1.2;-0.2
33;1.3;-0.3
34;1.4;-0.4
35;1.5;-0.5
36;1.6;-0.6
37;1.7;-0.7
38;1.8;-0.8
39;1.9;-0.9
40;2.0;-1.0
41;2.1;-1.1
42;2.2;-1.2
43;2.3;-1.3
44;2.4;-1.4
45;2.5;-1.5
46;2.6;-1.6
47;2.7;-1.7
48;2.8;-1.8
49;2.9;-1.9
50;3.0;-2.0
