;0;1
0;0.0;1.0
1;0.02;0.98
2;0.04;0.96
3;0.06;0.94
4;0.08;0.92
5;0.1;0.9
6;0.12;0.88
7;0.14;0.86
8;0.16;0.84
9;0.18;0.82
10;0.2;0.8
11;0.22;0.78
12;0.24;0.76
13;0.26;0.74
14;0.28;0.72
15;0.3;0.7
16;0.32;0.68
17;0.34;0.66
18;0.36;0.64
19;0.38;0.62
20;0.4;0.6
21;0.42;0.58
22;0.44;0.56
23;0.46;0.54
24;0.48;0.52
25;0.5;0.5
26;0.52;0.48
27;0.54;0.46
28;0.56;0.44
29;0.58;0.42
30;0.6;0.4
31;0.62;0.38
32;0.64;0.36
33;0.66;0.34
34;0.68;0.32
35;0.7;0.3
36;0.72;0.28
37;0.74;0.26
38;0.76;0.24
39;0.78;0.22
40;0.8;0.2
41;0.82;0.18
42;0.84;0.16
43;0.86;0.14
44;0.88;0.12
45;0.9;0.1
46;0.92;0.08
47;0.94;0.06
48;0.96;0.04
49;0.98;0.02
50;1.0;0.0
