;0;1;2;3
0;-2.0;0.0;-0.0;3.0
1;-2.0;0.0;0.33;2.67
2;-2.0;0.0;0.66;2.34
3;-2.0;0.0;0.99;2.01
4;-2.0;0.0;1.32;1.68
5;-2.0;0.0;1.65;1.35
6;-2.0;0.0;1.98;1.02
7;-2.0;0.0;2.31;0.69
8;-2.0;0.0;2.64;0.36
9;-2.0;0.0;2.97;0.03
10;-2.0;0.33;-0.33;3.0
11;-2.0;0.33;-0.0;2.67
12;-2.0;0.33;0.33;2.34
13;-2.0;0.33;0.66;2.01
14;-2.0;0.33;0.99;1.68
15;-2.0;0.33;1.32;1.35
16;-2.0;0.33;1.65;1.02
17;-2.0;0.33;1.98;0.69
18;-2.0;0.33;2.31;0.36
19;-2.0;0.33;2.64;0.03
20;-2.0;0.33;2.97;-0.3
21;-2.0;0.66;-0.66;3.0
22;-2.0;0.66;-0.33;2.67
23;-2.0;0.66;-0.0;2.34
24;-2.0;0.66;0.33;2.01
25;-2.0;0.66;0.66;1.68
26;-2.0;0.66;0.99;1.35
27;-2.0;0.66;1.32;1.02
28;-2.0;0.66;1.65;0.69
29;-2.0;0.66;1.98;0.36
30;-2.0;0.66;2.31;0.03
31;-2.0;0.66;2.64;-0.3
32;-2.0;0.66;2.97;-0.63
33;-2.0;0.99;-0.99;3.0
34;-2.0;0.99;-0.66;2.67
35;-2.0;0.99;-0.33;2.34
36;-2.0;0.99;0.0;2.01
37;-2.0;0.99;0.33;1.68
38;-2.0;0.99;0.66;1.35
39;-2.0;0.99;0.99;1.02
40;-2.0;0.99;1.32;0.69
41;-2.0;0.99;1.65;0.36
42;-2.0;0.99;1.98;0.03
43;-2.0;0.99;2.31;-0.3
44;-2.0;0.99;2.64;-0.63
45;-2.0;0.99;2.97;-0.96
46;-2.0;1.32;-1.32;3.0
47;-2.0;1.32;-0.99;2.67
48;-2.0;1.32;-0.66;2.34
49;-2.0;1.32;-0.33;2.01
50;-2.0;1.32;0.0;1.68
51;-2.0;1.32;0.33;1.35
52;-2.0;1.32;0.66;1.02
53;-2.0;1.32;0.99;0.69
54;-2.0;1.32;1.32;0.36
55;-2.0;1.32;1.65;0.03
