Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,4731.919922,4757.540039,4727.089844,4754.919922,4754.919922,35923200
2006-01-03,4761.950195,4803.229980,4755.720215,4776.979980,4776.979980,93725400
2006-01-04,4820.899902,4838.520020,4799.189941,4838.520020,4838.520020,112403400
2006-01-05,4839.089844,4849.669922,4826.310059,4835.089844,4835.089844,107184400
2006-01-06,4843.160156,4867.149902,4839.750000,4867.149902,4867.149902,111654200
2006-01-09,4875.120117,4886.189941,4870.930176,4875.089844,4875.089844,116841600
2006-01-10,4868.899902,4868.899902,4838.479980,4861.930176,4861.930176,114865800
2006-01-11,4893.750000,4897.580078,4866.759766,4890.490234,4890.490234,102499000
2006-01-12,4875.879883,4898.049805,4872.520020,4890.240234,4890.240234,182529200
2006-01-13,4876.410156,4876.410156,4834.240234,4850.529785,4850.529785,133881600
2006-01-16,4844.129883,4864.759766,4844.129883,4856.089844,4856.089844,71310200
2006-01-17,4829.330078,4829.330078,4803.439941,4807.140137,4807.140137,112012800
2006-01-18,4748.720215,4792.069824,4730.379883,4772.089844,4772.089844,157454000
2006-01-19,4798.330078,4815.810059,4790.770020,4814.089844,4814.089844,111811800
2006-01-20,4828.709961,4841.419922,4773.479980,4773.479980,4773.479980,117347000
2006-01-23,4725.000000,4754.779785,4719.330078,4751.990234,4751.990234,114812800
2006-01-24,4758.930176,4766.520020,4739.759766,4748.319824,4748.319824,109663000
2006-01-25,4766.609863,4794.220215,4758.060059,4791.000000,4791.000000,121893200
2006-01-26,4801.839844,4876.520020,4800.209961,4876.520020,4876.520020,147786800
2006-01-27,4938.770020,4956.600098,4907.479980,4956.600098,4956.600098,198721400
2006-01-30,4945.830078,4954.959961,4934.620117,4936.790039,4936.790039,117194200
2006-01-31,4943.459961,4970.209961,4930.180176,4947.990234,4947.990234,121921600
2006-02-01,4946.770020,5000.000000,4936.589844,4999.390137,4999.390137,126147600
2006-02-02,5000.950195,5012.379883,4927.890137,4927.890137,4927.890137,176052600
2006-02-03,4945.379883,4955.939941,4905.629883,4937.560059,4937.560059,127846800
2006-02-06,4949.839844,4960.669922,4919.899902,4934.589844,4934.589844,108205800
2006-02-07,4951.990234,4958.509766,4906.359863,4935.399902,4935.399902,135639800
2006-02-08,4893.149902,4909.680176,4875.799805,4895.080078,4895.080078,125630000
2006-02-09,4925.709961,4958.790039,4921.600098,4955.740234,4955.740234,117139800
2006-02-10,4940.049805,4963.689941,4910.819824,4910.819824,4910.819824,98773200
2006-02-13,4916.359863,4957.359863,4898.959961,4957.359863,4957.359863,104654800
2006-02-14,4964.569824,4975.410156,4928.109863,4961.339844,4961.339844,129663600
2006-02-15,4957.120117,4958.310059,4922.810059,4934.089844,4934.089844,113479000
2006-02-16,4959.700195,4973.890137,4938.370117,4973.089844,4973.089844,97543400
2006-02-17,4975.729980,5003.390137,4965.569824,5000.000000,5000.000000,98496400
2006-02-20,4981.310059,4985.660156,4971.250000,4979.939941,4979.939941,60892200
2006-02-21,4997.939941,5024.509766,4974.509766,4991.930176,4991.930176,124168600
2006-02-22,4984.970215,5041.600098,4984.120117,5041.600098,5041.600098,120587600
2006-02-23,5051.770020,5060.270020,5020.040039,5040.390137,5040.390137,147666000
2006-02-24,5051.629883,5073.950195,5036.169922,5073.950195,5073.950195,103085800
2006-02-27,5082.129883,5085.200195,5058.089844,5080.520020,5080.520020,140426000
2006-02-28,5084.620117,5084.620117,4998.129883,5000.450195,5000.450195,152498600
2006-03-01,5008.709961,5059.029785,5006.000000,5057.609863,5057.609863,132999600
2006-03-02,5069.759766,5077.580078,4990.479980,5009.089844,5009.089844,139673600
