Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,28.467142,28.608572,27.507143,27.834286,24.161295,269794700
2008-01-03,27.915714,28.198572,27.527143,27.847143,24.172449,210516600
2008-01-04,27.350000,27.571428,25.555714,25.721428,22.327251,363958000
2008-01-07,25.892857,26.228571,24.318571,25.377142,22.028393,518048300
2008-01-08,25.734285,26.065714,24.400000,24.464285,21.235991,380954000
2008-01-09,24.471428,25.642857,24.042856,25.628571,22.246645,453470500
2008-01-10,25.368572,25.857143,25.058571,25.431429,22.075516,370743800
2008-01-11,25.142857,25.407143,24.285715,24.670000,21.414568,308071400
2008-01-14,25.360001,25.631428,25.024286,25.540001,22.169762,275112600
2008-01-15,25.388571,25.602858,23.522858,24.148571,20.961945,585819500
2008-01-16,23.604286,24.144285,22.385714,22.805714,19.796291,553461300
2008-01-17,23.072857,23.622858,22.631428,22.984285,19.951296,439464900
2008-01-18,23.101429,23.678572,22.801428,23.051428,20.009575,431085900
2008-01-22,21.151428,22.854286,20.857143,22.234285,19.300268,608688500
2008-01-23,19.455715,20.000000,18.020000,19.867144,17.245489,843242400
2008-01-24,19.998571,20.100000,18.858572,19.371429,16.815191,501466700
2008-01-25,19.855715,19.870001,18.515715,18.572857,16.121998,388684800
2008-01-28,18.308571,19.028572,18.064285,18.572857,16.121998,368711000
2008-01-29,18.735714,18.969999,18.435715,18.791430,16.311724,274995700
2008-01-30,18.767143,19.350000,18.571428,18.882856,16.391098,310762900
2008-01-31,18.492857,19.521429,18.485714,19.337143,16.785425,336418600
2008-02-01,19.462856,19.512857,18.882856,19.107143,16.585785,252686000
2008-02-04,19.172857,19.414286,18.774286,18.807142,16.325367,224808500
2008-02-05,18.632856,19.142857,18.414286,18.480000,16.041388,285260500
2008-02-06,18.690001,18.845715,17.395714,17.428572,15.128711,393318100
2008-02-07,17.138571,17.825714,16.752857,17.320000,15.034469,520832900
2008-02-08,17.440001,17.957144,17.371429,17.925714,15.560250,338993200
2008-02-11,18.287144,18.568571,18.171429,18.492857,16.052557,300358100
2008-02-12,18.671429,18.714285,17.660000,17.837143,15.483367,306495000
2008-02-13,18.097143,18.540001,17.947144,18.485714,16.046354,242133500
2008-02-14,18.485714,18.685715,18.144285,18.208570,15.805783,238524300
2008-02-15,18.038572,18.154285,17.722857,17.804285,15.454845,225325100
2008-02-19,17.998571,18.107143,17.348572,17.454287,15.151031,251261500
2008-02-20,17.457144,17.799999,17.382856,17.688572,15.354403,241859800
2008-02-21,18.007143,18.067142,17.265715,17.362858,15.071671,234528700
2008-02-22,17.497143,17.501429,16.552856,17.065714,14.813738,382469500
2008-02-25,16.941429,17.167143,16.665714,17.105715,14.848459,314193600
2008-02-26,16.805714,17.298571,16.491428,17.021429,14.775293,376222000
2008-02-27,16.889999,17.578571,16.870001,17.565714,15.247759,368784500
2008-02-28,18.171429,18.885714,17.967142,18.558571,16.109592,404563600
2008-02-29,18.469999,18.601429,17.828571,17.860001,15.503209,313870200
2008-03-03,17.777143,17.997143,16.857143,17.389999,15.095233,398260800
2008-03-04,17.427143,17.840000,17.200001,17.802856,15.453604,446345900
2008-03-05,17.654285,17.877142,17.464285,17.784286,15.437490,305459000
2008-03-06,17.801428,18.214285,17.258572,17.275715,14.996028,368424700
2008-03-07,17.201429,17.568571,17.007143,17.464285,15.159713,307615700
2008-03-10,17.425714,17.637142,17.052856,17.098572,14.842254,249897200
2008-03-11,17.728571,18.211428,17.428572,18.192858,15.792146,290985800
2008-03-12,18.148571,18.382856,17.881428,18.004286,15.628456,264907300
2008-03-13,17.728571,18.500000,17.571428,18.277143,15.865309,315525700
2008-03-14,18.554285,18.614286,17.742857,18.087143,15.700379,289160200
2008-03-17,17.507143,18.370001,17.507143,18.104286,15.715261,268149700
2008-03-18,18.454287,19.000000,18.381428,18.974285,16.470448,301280000
2008-03-19,19.017143,19.184286,18.524286,18.524286,16.079836,252634200
2008-03-20,18.731428,19.041430,18.454287,19.038572,16.526253,227196900
2008-03-24,19.144285,20.121429,19.091429,19.932858,17.302536,266730100
2008-03-25,19.994286,20.442858,19.618572,20.139999,17.482340,263097800
2008-03-26,20.124287,20.820000,20.091429,20.722857,17.988289,295521100
2008-03-27,20.707144,20.758572,19.998571,20.035715,17.391817,249957400
2008-03-28,20.257143,20.664286,20.228571,20.430000,17.734077,178652600
2008-03-31,20.467142,20.815714,20.360001,20.500000,17.794838,192016300
2008-04-01,20.900000,21.379999,20.515715,21.361429,18.542591,258141800
2008-04-02,21.254286,21.600000,20.835714,21.070000,18.289623,261242100
2008-04-03,21.008572,21.947144,21.000000,21.658571,18.800529,262892000
2008-04-04,21.741428,22.101429,21.535715,21.868572,18.982815,213604300
2008-04-07,22.304285,22.812857,22.158571,22.270000,19.331266,289581600
2008-04-08,21.935715,22.350000,21.760000,21.834286,18.953051,253573600
2008-04-09,21.901428,21.984285,21.494286,21.634285,18.779444,218349600
2008-04-10,21.590000,22.202858,21.514286,22.078571,19.165096,238940800
2008-04-11,21.817142,21.900000,20.914286,21.020000,18.246218,302519000
2008-04-14,20.967142,21.321428,20.648571,21.111429,18.325581,211271900
2008-04-15,21.342857,21.388571,20.817142,21.197144,18.399981,174509300
2008-04-16,21.674286,22.014286,21.517143,21.957144,19.059704,198943500
2008-04-17,22.024286,22.285715,21.907143,22.070000,19.157661,176066800
2008-04-18,22.731428,23.180000,22.625713,23.005714,19.969900,256691400
2008-04-21,23.172857,24.071428,23.108572,24.022858,20.852819,259788200
2008-04-22,23.914286,24.000000,22.584286,22.885714,19.865734,359893100
2008-04-23,23.435715,23.548571,23.011429,23.270000,20.199310,376047700
2008-04-24,23.620001,24.282858,22.741428,24.134285,20.949545,424016600
2008-04-25,24.385714,24.442858,23.774286,24.247143,21.047510,248118500
2008-04-28,24.250000,24.821428,24.161428,24.605715,21.358763,196803600
2008-04-29,24.444286,25.094286,24.321428,25.007143,21.707218,230869100
2008-04-30,25.170000,25.714285,24.702858,24.850000,21.570814,284881100
2008-05-01,24.994286,25.714285,24.980000,25.714285,22.321053,225894200
2008-05-02,25.741428,25.988571,25.507143,25.848572,22.437620,251520500
2008-05-05,25.988571,26.472857,25.864286,26.389999,22.907597,213639300
2008-05-06,26.379999,26.731428,26.025715,26.665714,23.146927,229717600
2008-05-07,26.578571,26.885714,25.791430,26.084286,22.642227,289283400
2008-05-08,26.252857,26.642857,26.152857,26.437143,22.948517,224771400
2008-05-09,26.165714,26.321428,25.910000,26.207144,22.748863,168268100
2008-05-12,26.458570,26.981428,26.121429,26.879999,23.332935,204640800
2008-05-13,26.944286,27.350000,26.837143,27.137142,23.556149,205809100
2008-05-14,27.318571,27.462856,26.510000,26.608572,23.097328,229205900
2008-05-15,26.687143,27.128571,26.314285,27.104286,23.527628,218302000
2008-05-16,27.158571,27.185715,26.714285,26.802856,23.265972,191442300
2008-05-19,26.837143,26.955715,25.900000,26.228571,22.767471,236455100
2008-05-20,25.974285,26.594286,25.731428,26.557142,23.052685,242462500
2008-05-21,26.524286,26.850000,25.178572,25.455715,22.096596,289414300
2008-05-22,25.608572,25.904285,24.571428,25.292856,21.955236,301683900
2008-05-23,25.824286,25.998571,25.400000,25.881428,22.466135,226729300
2008-05-27,26.107143,26.632856,25.977142,26.632856,23.118402,197476300
2008-05-28,26.772858,26.850000,26.245714,26.715714,23.190325,185994900
2008-05-29,26.680000,26.885714,26.500000,26.670000,23.150646,161796600
2008-05-30,26.778572,27.077143,26.768572,26.964285,23.406101,152546100
2008-06-02,26.942858,27.092857,26.361429,26.585714,23.077492,169960000
2008-06-03,26.694286,26.885714,26.048571,26.481428,22.986958,187630100
2008-06-04,26.288572,26.727142,26.175714,26.455715,22.964642,181745900
2008-06-05,26.620001,27.120001,26.528572,27.061428,23.490421,188861400
2008-06-06,26.857143,27.135714,26.507143,26.520000,23.020443,241605700
2008-06-09,26.398571,26.420000,25.107143,25.944286,22.520699,472098200
2008-06-10,25.787144,26.682858,25.574286,26.520000,23.020443,285235300
2008-06-11,26.334286,26.571428,25.655714,25.830000,22.421492,240387700
2008-06-12,25.927143,26.085714,24.457144,24.751429,21.485249,327083400
2008-06-13,24.520000,24.879999,23.615715,24.624287,21.374886,336489300
2008-06-16,24.471428,25.414286,24.152857,25.262857,21.929192,262932600
2008-06-17,25.442858,25.998571,25.344286,25.918571,22.498375,224914200
2008-06-18,25.874287,26.028572,25.335714,25.535715,22.166040,202867000
2008-06-19,25.507143,26.048571,25.257143,25.842857,22.432657,197987300
